customer_id,signup_date,region,segment
C0001,2023-12-08,West,Returning
C0002,2024-12-18,West,Returning
C0003,2024-04-09,North,VIP
C0004,2025-11-14,West,Returning
C0005,2025-03-16,North,Returning
C0006,2025-03-02,South,VIP
C0007,2026-01-04,East,Returning
C0008,2025-04-20,South,New
C0009,2023-12-11,East,New
C0010,2026-03-28,West,Returning
C0011,2024-02-29,West,Returning
C0012,2023-11-15,West,VIP
C0013,2025-09-12,West,New
C0014,2024-10-04,South,New
C0015,2025-04-21,North,Returning
C0016,2026-06-07,East,VIP
C0017,2024-11-24,South,Returning
C0018,2023-11-24,South,New
C0019,2025-01-20,North,Returning
C0020,2024-08-28,North,Returning
C0021,2026-06-26,South,Returning
C0022,2025-07-21,East,Returning
C0023,2025-12-20,West,Returning
C0024,2026-03-10,South,New
C0025,2024-05-21,East,New
C0026,2026-03-01,North,New
C0027,2026-01-20,West,Returning
C0028,2025-01-29,East,Returning
C0029,2025-05-01,South,Returning
C0030,2023-10-12,North,New
C0031,2024-12-25,East,Returning
C0032,2026-03-25,East,Returning
C0033,2025-05-22,East,Returning
C0034,2023-12-10,East,Returning
C0035,2025-06-22,North,Returning
C0036,2026-08-12,North,Returning
C0037,2026-08-22,West,New
C0038,2026-02-16,North,New
C0039,2026-06-01,South,Returning
C0040,2024-01-18,East,Returning
C0041,2026-08-26,East,Returning
C0042,2024-12-02,West,New
C0043,2024-09-01,North,New
C0044,2025-12-24,East,Returning
C0045,2025-10-25,North,Returning
C0046,2026-06-24,North,Returning
C0047,2025-02-25,South,Returning
C0048,2024-05-20,South,Returning
C0049,2025-06-27,South,New
C0050,2024-09-10,North,VIP
C0051,2024-10-06,West,Returning
C0052,2025-01-14,South,VIP
C0053,2024-06-16,West,Returning
C0054,2026-01-12,South,New
C0055,2023-11-27,North,VIP
C0056,2024-01-19,South,New
C0057,2025-10-30,South,Returning
C0058,2025-04-22,North,VIP
C0059,2023-09-23,West,Returning
C0060,2025-08-27,South,Returning
C0061,2024-02-02,East,Returning
C0062,2025-07-20,North,Returning
C0063,2026-01-09,North,Returning
C0064,2024-03-25,South,New
C0065,2025-09-12,North,Returning
C0066,2026-01-17,North,VIP
C0067,2026-08-19,East,Returning
C0068,2025-07-03,East,New
C0069,2024-02-14,West,Returning
C0070,2025-01-25,West,New
C0071,2024-06-29,South,Returning
C0072,2024-12-27,West,Returning
C0073,2025-04-17,South,New
C0074,2026-07-11,South,Returning
C0075,2026-03-19,South,New
C0076,2024-10-03,West,VIP
C0077,2025-04-17,North,Returning
C0078,2024-08-12,North,Returning
C0079,2024-01-10,South,Returning
C0080,2025-11-08,East,Returning
C0081,2024-08-17,North,VIP
C0082,2026-08-03,North,New
C0083,2024-02-03,East,Returning
C0084,2024-08-06,West,Returning
C0085,2026-07-21,South,VIP
C0086,2025-07-27,South,Returning
C0087,2026-05-19,South,VIP
C0088,2024-03-17,North,New
C0089,2024-07-24,South,VIP
C0090,2024-02-14,West,Returning
C0091,2026-03-15,West,VIP
C0092,2024-01-06,East,Returning
C0093,2023-09-26,West,Returning
C0094,2024-11-23,South,New
C0095,2025-11-15,East,New
C0096,2023-09-07,West,New
C0097,2023-10-06,North,Returning
C0098,2026-05-04,North,New
C0099,2024-10-07,East,VIP
C0100,2023-10-20,North,Returning
C0101,2026-08-28,West,VIP
C0102,2025-03-01,East,New
C0103,2026-06-20,North,New
C0104,2024-07-03,North,Returning
C0105,2026-07-28,North,Returning
C0106,2026-06-12,East,Returning
C0107,2024-12-01,North,Returning
C0108,2023-09-29,East,Returning
C0109,2026-02-21,North,New
C0110,2025-05-14,West,Returning
C0111,2026-08-01,South,Returning
C0112,2025-03-11,East,VIP
C0113,2025-03-24,South,VIP
C0114,2025-03-01,North,Returning
C0115,2024-02-11,East,New
C0116,2025-11-01,North,Returning
C0117,2023-09-09,West,Returning
C0118,2024-03-18,West,Returning
C0119,2024-12-17,South,Returning
C0120,2026-03-16,North,New
C0121,2024-07-12,West,Returning
C0122,2025-01-20,North,Returning
C0123,2025-12-17,East,VIP
C0124,2025-12-04,East,Returning
C0125,2024-01-10,South,Returning
C0126,2024-01-04,East,VIP
C0127,2024-06-27,South,New
C0128,2024-06-21,North,Returning
C0129,2026-03-09,West,New
C0130,2026-04-23,North,Returning
C0131,2024-09-27,North,Returning
C0132,2024-08-15,South,New
C0133,2026-05-30,West,New
C0134,2024-02-19,South,New
C0135,2025-01-12,North,New
C0136,2025-10-16,North,New
C0137,2026-02-27,North,Returning
C0138,2025-03-19,East,Returning
C0139,2026-02-24,South,Returning
C0140,2025-11-15,West,VIP
C0141,2025-04-10,North,New
C0142,2026-05-01,North,New
C0143,2025-08-04,East,Returning
C0144,2024-07-06,North,Returning
C0145,2026-06-10,East,New
C0146,2023-12-13,West,New
C0147,2024-11-17,West,New
C0148,2026-03-05,West,VIP
C0149,2024-05-21,West,Returning
C0150,2025-05-27,West,Returning
C0151,2025-07-07,West,New
C0152,2026-02-21,East,Returning
C0153,2026-07-25,West,Returning
C0154,2026-01-06,South,Returning
C0155,2024-06-01,South,New
C0156,2024-12-19,South,Returning
C0157,2025-06-23,North,Returning
C0158,2025-03-07,South,Returning
C0159,2024-12-19,South,Returning
C0160,2024-05-16,South,VIP
C0161,2025-09-04,West,Returning
C0162,2025-12-22,South,Returning
C0163,2026-07-18,West,Returning
C0164,2024-04-10,West,Returning
C0165,2025-12-18,East,New
C0166,2024-03-13,East,New
C0167,2025-06-16,East,VIP
C0168,2026-06-03,North,Returning
C0169,2025-07-29,North,Returning
C0170,2025-05-29,North,VIP
C0171,2025-11-01,North,VIP
C0172,2024-03-05,West,Returning
C0173,2025-01-01,West,Returning
C0174,2026-06-16,West,New
C0175,2025-10-30,East,New
C0176,2025-03-24,East,New
C0177,2024-01-21,East,Returning
C0178,2025-02-03,South,Returning
C0179,2025-11-06,West,Returning
C0180,2025-03-21,South,Returning
C0181,2024-02-01,West,New
C0182,2026-01-08,North,New
C0183,2025-02-17,East,Returning
C0184,2026-06-06,West,Returning
C0185,2025-11-09,South,VIP
C0186,2026-02-11,West,New
C0187,2026-01-18,South,Returning
C0188,2024-08-09,North,New
C0189,2023-12-05,West,Returning
C0190,2025-11-16,South,Returning
C0191,2024-03-12,East,VIP
C0192,2024-09-30,West,Returning
C0193,2024-02-02,South,VIP
C0194,2023-09-07,East,VIP
C0195,2024-12-08,North,VIP
C0196,2026-04-19,East,New
C0197,2025-02-06,East,Returning
C0198,2025-04-19,North,Returning
C0199,2025-10-31,West,New
C0200,2026-07-27,South,Returning
C0201,2023-09-15,South,VIP
C0202,2025-11-17,West,New
C0203,2024-11-02,West,VIP
C0204,2025-09-19,South,Returning
C0205,2023-10-19,North,VIP
C0206,2023-09-28,East,Returning
C0207,2025-07-14,North,VIP
C0208,2026-04-03,North,New
C0209,2025-01-09,North,Returning
C0210,2026-02-02,North,VIP
C0211,2024-07-14,East,New
C0212,2023-09-07,North,New
C0213,2026-02-15,East,Returning
C0214,2026-07-21,North,Returning
C0215,2024-05-26,North,Returning
C0216,2026-07-27,West,Returning
C0217,2026-03-15,East,Returning
C0218,2025-01-02,North,New
C0219,2024-01-04,North,Returning
C0220,2025-04-14,East,Returning
C0221,2023-12-05,West,New
C0222,2026-02-07,East,New
C0223,2023-09-19,South,Returning
C0224,2025-03-26,West,Returning
C0225,2025-03-12,North,Returning
C0226,2023-09-06,North,VIP
C0227,2025-01-16,East,New
C0228,2024-10-12,North,New
C0229,2024-10-17,West,Returning
C0230,2025-04-18,West,Returning
C0231,2026-04-13,East,New
C0232,2024-05-30,West,Returning
C0233,2024-12-02,East,Returning
C0234,2024-06-09,East,VIP
C0235,2024-02-21,North,Returning
C0236,2025-09-26,South,Returning
C0237,2024-01-21,North,New
C0238,2026-07-04,South,Returning
C0239,2025-07-05,South,Returning
C0240,2024-11-13,East,Returning
C0241,2024-02-16,South,New
C0242,2026-07-06,East,Returning
C0243,2026-06-04,North,Returning
C0244,2025-02-05,South,New
C0245,2023-12-15,East,Returning
C0246,2025-06-08,East,Returning
