date,channel,region,spend,impressions
2025-09-01,Organic,North,0.0,286
2025-09-01,Paid,North,726.56,7036
2025-09-01,Email,North,146.63,1378
2025-09-01,Referral,North,108.82,1171
2025-09-01,Organic,South,0.0,438
2025-09-01,Paid,South,873.98,7763
2025-09-01,Email,South,170.08,1803
2025-09-01,Referral,South,108.95,1276
2025-09-01,Organic,East,0.0,444
2025-09-01,Paid,East,814.31,8077
2025-09-01,Email,East,152.16,1749
2025-09-01,Referral,East,86.98,830
2025-09-01,Organic,West,0.0,285
2025-09-01,Paid,West,787.16,8193
2025-09-01,Email,West,162.26,1303
2025-09-01,Referral,West,97.95,897
2025-09-02,Organic,North,0.0,420
2025-09-02,Paid,North,745.86,6665
2025-09-02,Email,North,135.28,1354
2025-09-02,Referral,North,86.56,934
2025-09-02,Organic,South,0.0,465
2025-09-02,Paid,South,727.02,7255
2025-09-02,Email,South,167.11,1906
2025-09-02,Referral,South,108.46,948
2025-09-02,Organic,East,0.0,331
2025-09-02,Paid,East,915.98,8214
2025-09-02,Email,East,133.5,1288
2025-09-02,Referral,East,89.53,884
2025-09-02,Organic,West,0.0,385
2025-09-02,Paid,West,774.82,6982
2025-09-02,Email,West,148.22,1654
2025-09-02,Referral,West,109.53,878
2025-09-03,Organic,North,0.0,213
2025-09-03,Paid,North,900.15,8021
2025-09-03,Email,North,145.78,1231
2025-09-03,Referral,North,95.04,1049
2025-09-03,Organic,South,0.0,215
2025-09-03,Paid,South,787.61,8240
2025-09-03,Email,South,140.39,1584
2025-09-03,Referral,South,85.11,826
2025-09-03,Organic,East,0.0,455
2025-09-03,Paid,East,708.0,6207
2025-09-03,Email,East,156.98,1453
2025-09-03,Referral,East,92.41,932
2025-09-03,Organic,West,0.0,389
2025-09-03,Paid,West,851.62,8114
2025-09-03,Email,West,154.01,1797
2025-09-03,Referral,West,113.51,1195
2025-09-04,Organic,North,0.0,361
2025-09-04,Paid,North,858.18,9984
2025-09-04,Email,North,137.63,1306
2025-09-04,Referral,North,85.67,1016
2025-09-04,Organic,South,0.0,445
2025-09-04,Paid,South,698.37,8014
2025-09-04,Email,South,159.33,1824
2025-09-04,Referral,South,110.53,993
2025-09-04,Organic,East,0.0,287
2025-09-04,Paid,East,761.16,8206
2025-09-04,Email,East,157.2,1564
2025-09-04,Referral,East,101.33,993
2025-09-04,Organic,West,0.0,297
2025-09-04,Paid,West,875.38,9003
2025-09-04,Email,West,161.95,1398
2025-09-04,Referral,West,92.4,889
2025-09-05,Organic,North,0.0,267
2025-09-05,Paid,North,826.46,8973
2025-09-05,Email,North,137.72,1108
2025-09-05,Referral,North,103.2,1230
2025-09-05,Organic,South,0.0,298
2025-09-05,Paid,South,832.24,6817
2025-09-05,Email,South,153.1,1567
2025-09-05,Referral,South,102.02,1014
2025-09-05,Organic,East,0.0,335
2025-09-05,Paid,East,887.58,7147
2025-09-05,Email,East,144.36,1395
2025-09-05,Referral,East,109.86,1050
2025-09-05,Organic,West,0.0,226
2025-09-05,Paid,West,709.41,6016
2025-09-05,Email,West,154.67,1565
2025-09-05,Referral,West,92.48,809
2025-09-06,Organic,North,0.0,472
2025-09-06,Paid,North,820.63,9333
2025-09-06,Email,North,139.4,1379
2025-09-06,Referral,North,92.71,800
2025-09-06,Organic,South,0.0,316
2025-09-06,Paid,South,680.75,7869
2025-09-06,Email,South,147.74,1254
2025-09-06,Referral,South,99.01,1136
2025-09-06,Organic,East,0.0,487
2025-09-06,Paid,East,680.42,8096
2025-09-06,Email,East,142.06,1538
2025-09-06,Referral,East,107.58,1250
2025-09-06,Organic,West,0.0,322
2025-09-06,Paid,West,863.91,9279
2025-09-06,Email,West,142.14,1606
2025-09-06,Referral,West,111.75,1147
2025-09-07,Organic,North,0.0,445
2025-09-07,Paid,North,829.96,9259
2025-09-07,Email,North,155.32,1673
2025-09-07,Referral,North,86.13,722
2025-09-07,Organic,South,0.0,324
2025-09-07,Paid,South,869.45,7177
2025-09-07,Email,South,128.11,1136
2025-09-07,Referral,South,110.81,1279
2025-09-07,Organic,East,0.0,288
2025-09-07,Paid,East,843.64,9122
2025-09-07,Email,East,127.54,1211
2025-09-07,Referral,East,89.5,839
2025-09-07,Organic,West,0.0,279
2025-09-07,Paid,West,698.31,8340
2025-09-07,Email,West,150.05,1287
2025-09-07,Referral,West,92.03,749
2025-09-08,Organic,North,0.0,290
2025-09-08,Paid,North,695.46,6252
2025-09-08,Email,North,147.09,1571
2025-09-08,Referral,North,109.98,904
2025-09-08,Organic,South,0.0,273
2025-09-08,Paid,South,712.55,6692
2025-09-08,Email,South,135.43,1210
2025-09-08,Referral,South,112.52,1188
2025-09-08,Organic,East,0.0,459
2025-09-08,Paid,East,810.44,9141
2025-09-08,Email,East,143.24,1285
2025-09-08,Referral,East,101.46,1194
2025-09-08,Organic,West,0.0,450
2025-09-08,Paid,West,738.35,8726
2025-09-08,Email,West,151.12,1463
2025-09-08,Referral,West,93.65,984
2025-09-09,Organic,North,0.0,373
2025-09-09,Paid,North,878.0,10236
2025-09-09,Email,North,161.09,1407
2025-09-09,Referral,North,88.97,902
2025-09-09,Organic,South,0.0,246
2025-09-09,Paid,South,828.11,7160
2025-09-09,Email,South,137.95,1149
2025-09-09,Referral,South,110.11,1140
2025-09-09,Organic,East,0.0,303
2025-09-09,Paid,East,775.2,6619
2025-09-09,Email,East,165.66,1527
2025-09-09,Referral,East,87.14,822
2025-09-09,Organic,West,0.0,272
2025-09-09,Paid,West,777.82,8899
2025-09-09,Email,West,161.02,1445
2025-09-09,Referral,West,94.64,921
2025-09-10,Organic,North,0.0,248
2025-09-10,Paid,North,748.4,6910
2025-09-10,Email,North,136.0,1236
2025-09-10,Referral,North,97.74,1113
2025-09-10,Organic,South,0.0,403
2025-09-10,Paid,South,696.07,6984
2025-09-10,Email,South,138.07,1105
2025-09-10,Referral,South,101.96,896
2025-09-10,Organic,East,0.0,394
2025-09-10,Paid,East,742.57,6659
2025-09-10,Email,East,154.09,1596
2025-09-10,Referral,East,110.46,971
2025-09-10,Organic,West,0.0,496
2025-09-10,Paid,West,768.62,9131
2025-09-10,Email,West,134.49,1588
2025-09-10,Referral,West,113.92,1043
2025-09-11,Organic,North,0.0,260
2025-09-11,Paid,North,824.72,7050
2025-09-11,Email,North,140.78,1679
2025-09-11,Referral,North,107.95,1207
2025-09-11,Organic,South,0.0,462
2025-09-11,Paid,South,845.45,9187
2025-09-11,Email,South,160.46,1534
2025-09-11,Referral,South,88.0,918
2025-09-11,Organic,East,0.0,439
2025-09-11,Paid,East,736.27,6427
2025-09-11,Email,East,170.57,1458
2025-09-11,Referral,East,101.46,1112
2025-09-11,Organic,West,0.0,228
2025-09-11,Paid,West,814.54,8732
2025-09-11,Email,West,129.47,1253
2025-09-11,Referral,West,99.23,1014
2025-09-12,Organic,North,0.0,211
2025-09-12,Paid,North,894.44,10234
2025-09-12,Email,North,165.9,1672
2025-09-12,Referral,North,108.64,1217
2025-09-12,Organic,South,0.0,488
2025-09-12,Paid,South,875.89,7425
2025-09-12,Email,South,133.92,1343
2025-09-12,Referral,South,106.28,1205
2025-09-12,Organic,East,0.0,203
2025-09-12,Paid,East,784.07,7600
2025-09-12,Email,East,158.75,1621
2025-09-12,Referral,East,109.08,1178
2025-09-12,Organic,West,0.0,344
2025-09-12,Paid,West,737.07,7796
2025-09-12,Email,West,137.71,1458
2025-09-12,Referral,West,89.54,792
2025-09-13,Organic,North,0.0,328
2025-09-13,Paid,North,804.51,9505
2025-09-13,Email,North,154.84,1501
2025-09-13,Referral,North,109.84,939
2025-09-13,Organic,South,0.0,204
2025-09-13,Paid,South,741.34,7510
2025-09-13,Email,South,156.14,1749
2025-09-13,Referral,South,103.1,872
2025-09-13,Organic,East,0.0,437
2025-09-13,Paid,East,682.99,7390
2025-09-13,Email,East,150.96,1506
2025-09-13,Referral,East,107.36,877
2025-09-13,Organic,West,0.0,323
2025-09-13,Paid,West,905.96,7297
2025-09-13,Email,West,166.98,1769
2025-09-13,Referral,West,112.24,918
2025-09-14,Organic,North,0.0,442
2025-09-14,Paid,North,807.53,7262
2025-09-14,Email,North,148.7,1738
2025-09-14,Referral,North,98.18,839
2025-09-14,Organic,South,0.0,219
2025-09-14,Paid,South,683.44,6044
2025-09-14,Email,South,152.22,1431
2025-09-14,Referral,South,111.25,1239
2025-09-14,Organic,East,0.0,339
2025-09-14,Paid,East,735.28,7102
2025-09-14,Email,East,156.21,1264
2025-09-14,Referral,East,111.68,1185
2025-09-14,Organic,West,0.0,488
2025-09-14,Paid,West,839.41,7933
2025-09-14,Email,West,147.21,1181
2025-09-14,Referral,West,86.72,729
2025-09-15,Organic,North,0.0,318
2025-09-15,Paid,North,748.86,7191
2025-09-15,Email,North,145.77,1370
2025-09-15,Referral,North,100.41,1179
2025-09-15,Organic,South,0.0,356
2025-09-15,Paid,South,876.85,9748
2025-09-15,Email,South,146.29,1310
2025-09-15,Referral,South,85.95,706
2025-09-15,Organic,East,0.0,265
2025-09-15,Paid,East,890.52,7499
2025-09-15,Email,East,164.64,1618
2025-09-15,Referral,East,104.37,894
2025-09-15,Organic,West,0.0,438
2025-09-15,Paid,West,701.53,7079
2025-09-15,Email,West,132.14,1509
2025-09-15,Referral,West,102.65,1045
2025-09-16,Organic,North,0.0,281
2025-09-16,Paid,North,802.65,6487
2025-09-16,Email,North,149.14,1320
2025-09-16,Referral,North,111.76,1015
2025-09-16,Organic,South,0.0,353
2025-09-16,Paid,South,680.75,7468
2025-09-16,Email,South,134.73,1616
2025-09-16,Referral,South,93.78,999
2025-09-16,Organic,East,0.0,487
2025-09-16,Paid,East,861.51,8097
2025-09-16,Email,East,168.93,1495
2025-09-16,Referral,East,104.03,1142
2025-09-16,Organic,West,0.0,307
2025-09-16,Paid,West,879.5,8698
2025-09-16,Email,West,166.27,1472
2025-09-16,Referral,West,111.87,1133
2025-09-17,Organic,North,0.0,328
2025-09-17,Paid,North,736.49,6195
2025-09-17,Email,North,140.6,1348
2025-09-17,Referral,North,102.97,1121
2025-09-17,Organic,South,0.0,212
2025-09-17,Paid,South,908.35,8170
2025-09-17,Email,South,158.04,1774
2025-09-17,Referral,South,97.52,950
2025-09-17,Organic,East,0.0,214
2025-09-17,Paid,East,777.95,9139
2025-09-17,Email,East,144.12,1670
2025-09-17,Referral,East,106.03,1223
2025-09-17,Organic,West,0.0,258
2025-09-17,Paid,West,840.49,7058
2025-09-17,Email,West,149.43,1628
2025-09-17,Referral,West,89.85,1063
2025-09-18,Organic,North,0.0,340
2025-09-18,Paid,North,787.41,9089
2025-09-18,Email,North,166.21,1939
2025-09-18,Referral,North,105.09,1119
2025-09-18,Organic,South,0.0,268
2025-09-18,Paid,South,858.14,8998
2025-09-18,Email,South,142.94,1696
2025-09-18,Referral,South,99.59,1084
2025-09-18,Organic,East,0.0,399
2025-09-18,Paid,East,682.53,6707
2025-09-18,Email,East,154.81,1857
2025-09-18,Referral,East,89.63,961
2025-09-18,Organic,West,0.0,330
2025-09-18,Paid,West,792.92,6845
2025-09-18,Email,West,151.36,1238
2025-09-18,Referral,West,97.42,937
2025-09-19,Organic,North,0.0,252
2025-09-19,Paid,North,919.44,9975
2025-09-19,Email,North,170.5,1870
2025-09-19,Referral,North,99.82,1043
2025-09-19,Organic,South,0.0,250
2025-09-19,Paid,South,716.7,7127
2025-09-19,Email,South,136.64,1513
2025-09-19,Referral,South,93.91,784
2025-09-19,Organic,East,0.0,375
2025-09-19,Paid,East,813.31,7356
2025-09-19,Email,East,133.29,1401
2025-09-19,Referral,East,107.21,938
2025-09-19,Organic,West,0.0,423
