order_id,customer_id,product_id,order_date,quantity,revenue,channel
O000001,C0235,P0012,2025-09-01,3,219.54,Paid
O000002,C0445,P0022,2025-09-01,2,174.92,Organic
O000003,C0445,P0025,2025-09-01,2,59.52,Paid
O000004,C0003,P0034,2025-09-01,2,174.98,Organic
O000005,C0218,P0037,2025-09-01,3,172.05,Organic
O000006,C0144,P0038,2025-09-01,1,111.95,Email
O000007,C0430,P0005,2025-09-01,1,124.69,Organic
O000008,C0672,P0011,2025-09-01,2,67.96,Paid
O000009,C0444,P0010,2025-09-01,3,142.32,Referral
O000010,C0687,P0010,2025-09-01,1,47.44,Paid
O000011,C0489,P0015,2025-09-01,2,155.26,Paid
O000012,C0249,P0018,2025-09-01,1,94.25,Referral
O000013,C0424,P0019,2025-09-01,3,447.69,Organic
O000014,C0287,P0032,2025-09-01,2,106.18,Email
O000015,C0079,P0028,2025-09-01,1,19.44,Email
O000016,C0486,P0031,2025-09-01,2,67.94,Paid
O000017,C0795,P0032,2025-09-01,1,53.09,Organic
O000018,C0061,P0006,2025-09-01,3,418.29,Organic
O000019,C0499,P0011,2025-09-01,1,33.98,Paid
O000020,C0305,P0014,2025-09-01,2,86.74,Email
O000021,C0754,P0024,2025-09-01,2,63.16,Organic
O000022,C0561,P0032,2025-09-01,1,53.09,Paid
O000023,C0076,P0002,2025-09-01,1,90.42,Paid
O000024,C0514,P0007,2025-09-01,1,387.23,Paid
O000025,C0149,P0001,2025-09-01,1,368.78,Organic
O000026,C0781,P0003,2025-09-01,1,283.98,Organic
O000027,C0311,P0002,2025-09-01,2,180.84,Organic
O000028,C0749,P0003,2025-09-01,1,283.98,Organic
O000029,C0470,P0011,2025-09-01,1,33.98,Organic
O000030,C0314,P0010,2025-09-01,1,47.44,Email
O000031,C0059,P0023,2025-09-01,1,125.29,Email
O000032,C0311,P0020,2025-09-01,3,75.06,Organic
O000033,C0001,P0023,2025-09-01,3,375.87,Organic
O000034,C0230,P0017,2025-09-01,3,61.68,Organic
O000035,C0716,P0030,2025-09-01,1,30.5,Email
O000036,C0059,P0030,2025-09-01,3,91.5,Paid
O000037,C0726,P0035,2025-09-01,3,354.63,Organic
O000038,C0445,P0007,2025-09-02,2,774.46,Email
O000039,C0723,P0003,2025-09-02,3,851.94,Organic
O000040,C0510,P0011,2025-09-02,2,67.96,Organic
O000041,C0005,P0011,2025-09-02,2,67.96,Organic
O000042,C0590,P0012,2025-09-02,3,219.54,Organic
O000043,C0628,P0018,2025-09-02,1,94.25,Paid
O000044,C0141,P0019,2025-09-02,1,149.23,Referral
O000045,C0658,P0017,2025-09-02,2,41.12,Paid
O000046,C0590,P0019,2025-09-02,1,149.23,Paid
O000047,C0723,P0023,2025-09-02,1,125.29,Paid
O000048,C0205,P0028,2025-09-02,3,58.32,Email
O000049,C0639,P0026,2025-09-02,1,47.35,Paid
O000050,C0576,P0038,2025-09-02,1,111.95,Referral
O000051,C0005,P0036,2025-09-02,1,58.24,Paid
O000052,C0785,P0008,2025-09-02,1,135.26,Referral
O000053,C0047,P0012,2025-09-02,1,73.18,Email
O000054,C0728,P0015,2025-09-02,1,77.63,Paid
O000055,C0017,P0009,2025-09-02,2,94.5,Paid
O000056,C0446,P0023,2025-09-02,3,375.87,Paid
O000057,C0155,P0024,2025-09-02,2,63.16,Organic
O000058,C0740,P0031,2025-09-02,1,33.97,Organic
O000059,C0537,P0027,2025-09-02,2,57.16,Organic
O000060,C0766,P0034,2025-09-02,2,174.98,Paid
O000061,C0060,P0039,2025-09-02,1,40.82,Paid
O000062,C0564,P0006,2025-09-02,2,278.86,Paid
O000063,C0465,P0008,2025-09-02,3,405.78,Organic
O000064,C0660,P0004,2025-09-02,2,666.42,Organic
O000065,C0102,P0007,2025-09-02,1,387.23,Paid
O000066,C0099,P0009,2025-09-02,2,94.5,Organic
O000067,C0040,P0015,2025-09-02,3,232.89,Organic
O000068,C0227,P0009,2025-09-02,1,47.25,Organic
O000069,C0102,P0014,2025-09-02,1,43.37,Organic
O000070,C0115,P0012,2025-09-02,3,219.54,Email
O000071,C0034,P0010,2025-09-02,1,47.44,Referral
O000072,C0588,P0022,2025-09-02,1,87.46,Paid
O000073,C0680,P0017,2025-09-02,3,61.68,Paid
O000074,C0194,P0024,2025-09-02,3,94.74,Email
O000075,C0509,P0027,2025-09-02,3,85.74,Organic
O000076,C0485,P0027,2025-09-02,2,57.16,Email
O000077,C0325,P0036,2025-09-02,1,58.24,Organic
O000078,C0252,P0001,2025-09-02,3,1106.34,Paid
O000079,C0673,P0009,2025-09-02,1,47.25,Organic
O000080,C0316,P0017,2025-09-02,1,20.56,Paid
O000081,C0358,P0020,2025-09-02,3,75.06,Organic
O000082,C0688,P0025,2025-09-02,3,89.28,Email
O000083,C0407,P0027,2025-09-02,2,57.16,Organic
O000084,C0203,P0037,2025-09-02,3,172.05,Organic
O000085,C0273,P0007,2025-09-03,3,1161.69,Organic
O000086,C0198,P0027,2025-09-03,3,85.74,Paid
O000087,C0583,P0029,2025-09-03,3,59.31,Organic
O000088,C0273,P0029,2025-09-03,3,59.31,Organic
O000089,C0535,P0036,2025-09-03,1,58.24,Paid
O000090,C0523,P0035,2025-09-03,2,236.42,Organic
O000091,C0425,P0035,2025-09-03,3,354.63,Organic
O000092,C0570,P0033,2025-09-03,1,82.44,Email
O000093,C0391,P0006,2025-09-03,3,418.29,Organic
O000094,C0029,P0009,2025-09-03,1,47.25,Email
O000095,C0687,P0022,2025-09-03,1,87.46,Paid
O000096,C0473,P0027,2025-09-03,2,57.16,Referral
O000097,C0335,P0027,2025-09-03,2,57.16,Organic
O000098,C0728,P0037,2025-09-03,2,114.7,Organic
O000099,C0785,P0035,2025-09-03,2,236.42,Paid
O000100,C0605,P0040,2025-09-03,3,274.89,Organic
O000101,C0792,P0037,2025-09-03,3,172.05,Organic
O000102,C0132,P0036,2025-09-03,1,58.24,Paid
O000103,C0740,P0033,2025-09-03,3,247.32,Organic
O000104,C0780,P0002,2025-09-03,3,271.26,Paid
O000105,C0245,P0001,2025-09-03,1,368.78,Paid
O000106,C0183,P0016,2025-09-03,3,92.94,Referral
O000107,C0633,P0013,2025-09-03,1,72.89,Organic
O000108,C0548,P0014,2025-09-03,3,130.11,Referral
O000109,C0422,P0010,2025-09-03,1,47.44,Paid
O000110,C0115,P0020,2025-09-03,2,50.04,Paid
O000111,C0490,P0021,2025-09-03,2,94.08,Paid
O000112,C0548,P0031,2025-09-03,1,33.97,Organic
O000113,C0247,P0029,2025-09-03,3,59.31,Paid
O000114,C0167,P0027,2025-09-03,1,28.58,Paid
O000115,C0061,P0026,2025-09-03,1,47.35,Email
O000116,C0138,P0039,2025-09-03,3,122.46,Paid
O000117,C0025,P0037,2025-09-03,1,57.35,Organic
O000118,C0025,P0039,2025-09-03,1,40.82,Organic
O000119,C0797,P0001,2025-09-03,1,368.78,Email
O000120,C0470,P0007,2025-09-03,2,774.46,Email
O000121,C0230,P0007,2025-09-03,2,774.46,Paid
O000122,C0189,P0016,2025-09-03,3,92.94,Email
O000123,C0072,P0013,2025-09-03,3,218.67,Organic
O000124,C0643,P0022,2025-09-03,3,262.38,Referral
O000125,C0313,P0023,2025-09-03,3,375.87,Organic
O000126,C0716,P0031,2025-09-03,1,33.97,Organic
O000127,C0304,P0026,2025-09-03,1,47.35,Organic
O000128,C0110,P0025,2025-09-03,1,29.76,Paid
O000129,C0720,P0026,2025-09-03,2,94.7,Paid
O000130,C0568,P0031,2025-09-03,2,67.94,Paid
O000131,C0051,P0037,2025-09-03,2,114.7,Paid
O000132,C0666,P0037,2025-09-03,1,57.35,Referral
O000133,C0151,P0037,2025-09-03,1,57.35,Organic
O000134,C0653,P0035,2025-09-03,1,118.21,Paid
O000135,C0498,P0037,2025-09-03,1,57.35,Organic
O000136,C0043,P0001,2025-09-04,3,1106.34,Organic
O000137,C0324,P0003,2025-09-04,3,851.94,Paid
O000138,C0428,P0013,2025-09-04,3,218.67,Organic
O000139,C0686,P0011,2025-09-04,1,33.98,Organic
O000140,C0756,P0015,2025-09-04,2,155.26,Paid
O000141,C0131,P0017,2025-09-04,3,61.68,Paid
O000142,C0443,P0017,2025-09-04,3,61.68,Organic
O000143,C0464,P0021,2025-09-04,2,94.08,Email
O000144,C0225,P0026,2025-09-04,3,142.05,Organic
O000145,C0317,P0031,2025-09-04,2,67.94,Organic
O000146,C0627,P0027,2025-09-04,1,28.58,Organic
O000147,C0759,P0027,2025-09-04,1,28.58,Paid
O000148,C0452,P0039,2025-09-04,1,40.82,Referral
O000149,C0776,P0033,2025-09-04,2,164.88,Referral
O000150,C0020,P0037,2025-09-04,3,172.05,Organic
O000151,C0198,P0038,2025-09-04,2,223.9,Email
O000152,C0391,P0023,2025-09-04,2,250.58,Organic
O000153,C0614,P0028,2025-09-04,1,19.44,Email
O000154,C0792,P0029,2025-09-04,3,59.31,Referral
O000155,C0455,P0032,2025-09-04,3,159.27,Organic
O000156,C0355,P0029,2025-09-04,3,59.31,Paid
O000157,C0665,P0035,2025-09-04,3,354.63,Organic
O000158,C0308,P0037,2025-09-04,2,114.7,Email
O000159,C0359,P0004,2025-09-04,2,666.42,Email
O000160,C0410,P0004,2025-09-04,1,333.21,Paid
