product_id,category,price,cost
P0001,Electronics,368.78,239.71
P0002,Electronics,90.42,58.77
P0003,Electronics,283.98,184.59
P0004,Electronics,333.21,216.59
P0005,Electronics,124.69,81.05
P0006,Electronics,139.43,90.63
P0007,Electronics,387.23,251.7
P0008,Electronics,135.26,87.92
P0009,Apparel,47.25,21.26
P0010,Apparel,47.44,21.35
P0011,Apparel,33.98,15.29
P0012,Apparel,73.18,32.93
P0013,Apparel,72.89,32.8
P0014,Apparel,43.37,19.52
P0015,Apparel,77.63,34.93
P0016,Apparel,30.98,13.94
P0017,Home,20.56,11.31
P0018,Home,94.25,51.84
P0019,Home,149.23,82.08
P0020,Home,25.02,13.76
P0021,Home,47.04,25.87
P0022,Home,87.46,48.1
P0023,Home,125.29,68.91
P0024,Home,31.58,17.37
P0025,Beauty,29.76,11.9
P0026,Beauty,47.35,18.94
P0027,Beauty,28.58,11.43
P0028,Beauty,19.44,7.78
P0029,Beauty,19.77,7.91
P0030,Beauty,30.5,12.2
P0031,Beauty,33.97,13.59
P0032,Beauty,53.09,21.24
P0033,Sports,82.44,41.22
P0034,Sports,87.49,43.74
P0035,Sports,118.21,59.1
P0036,Sports,58.24,29.12
P0037,Sports,57.35,28.68
P0038,Sports,111.95,55.98
P0039,Sports,40.82,20.41
P0040,Sports,91.63,45.81
