customer_id,signup_date,region,segment
C0001,2026-07-01,East,VIP
C0002,2025-05-26,West,New
C0003,2023-11-01,South,VIP
C0004,2026-05-27,North,Returning
C0005,2024-01-23,West,Returning
C0006,2026-02-11,South,New
C0007,2025-10-28,South,Returning
C0008,2025-02-06,East,Returning
C0009,2025-03-12,West,Returning
C0010,2025-10-07,East,VIP
C0011,2025-01-24,North,New
C0012,2026-03-28,East,New
C0013,2024-12-31,North,Returning
C0014,2026-07-29,South,VIP
C0015,2026-02-18,East,Returning
C0016,2024-06-19,South,New
C0017,2026-08-23,North,New
C0018,2026-07-28,East,New
C0019,2025-10-29,South,New
C0020,2025-07-08,West,New
C0021,2025-04-07,South,VIP
C0022,2024-03-23,East,Returning
C0023,2025-10-15,East,Returning
C0024,2025-02-01,North,Returning
C0025,2025-11-05,East,VIP
C0026,2025-09-21,South,Returning
C0027,2023-12-29,North,Returning
C0028,2025-06-17,South,New
C0029,2024-10-23,West,Returning
C0030,2025-05-23,West,Returning
C0031,2024-12-25,East,Returning
C0032,2025-04-22,East,New
C0033,2025-05-08,South,New
C0034,2023-10-29,South,New
C0035,2024-11-19,West,New
C0036,2023-09-10,East,Returning
C0037,2025-02-26,West,Returning
C0038,2025-04-07,North,Returning
C0039,2025-02-11,West,VIP
C0040,2026-07-18,East,New
C0041,2025-05-09,North,VIP
C0042,2024-05-27,East,New
C0043,2024-10-18,West,Returning
C0044,2025-06-01,East,Returning
C0045,2026-08-12,South,New
C0046,2025-10-21,North,VIP
C0047,2025-05-14,South,Returning
C0048,2025-02-05,South,Returning
C0049,2023-11-01,North,Returning
C0050,2026-01-28,North,New
C0051,2024-11-29,West,Returning
C0052,2025-11-06,South,Returning
C0053,2024-12-19,West,Returning
C0054,2023-11-04,East,Returning
C0055,2026-04-04,South,Returning
C0056,2025-04-04,West,VIP
C0057,2026-08-30,North,VIP
C0058,2024-08-03,North,Returning
C0059,2025-11-22,West,New
C0060,2026-03-16,South,Returning
C0061,2026-07-29,North,Returning
C0062,2025-02-13,West,Returning
C0063,2023-12-06,East,New
C0064,2024-03-31,North,Returning
C0065,2023-12-27,North,Returning
C0066,2024-08-06,West,Returning
C0067,2026-08-16,South,New
C0068,2023-12-08,West,Returning
C0069,2024-04-10,West,Returning
C0070,2026-07-07,East,VIP
C0071,2025-12-20,East,Returning
C0072,2026-02-27,South,VIP
C0073,2024-10-15,South,VIP
C0074,2023-12-16,North,Returning
C0075,2024-02-27,East,VIP
C0076,2025-11-25,South,Returning
C0077,2025-09-14,East,Returning
C0078,2024-01-27,East,VIP
C0079,2024-07-24,South,Returning
C0080,2025-11-09,North,New
C0081,2025-01-27,North,VIP
C0082,2026-02-08,West,New
C0083,2025-11-26,East,Returning
C0084,2024-03-09,East,Returning
C0085,2024-10-17,South,VIP
C0086,2025-12-05,South,Returning
C0087,2024-11-25,East,New
C0088,2025-11-14,North,Returning
C0089,2023-09-05,West,Returning
C0090,2026-05-08,East,New
C0091,2026-06-02,West,Returning
C0092,2025-11-20,West,Returning
C0093,2026-02-11,West,New
C0094,2024-03-06,North,New
C0095,2024-06-11,South,New
C0096,2026-07-07,North,Returning
C0097,2024-05-25,North,Returning
C0098,2023-12-30,North,Returning
C0099,2023-12-07,North,Returning
C0100,2025-05-17,West,Returning
C0101,2025-08-05,West,Returning
C0102,2024-04-25,East,New
C0103,2025-12-13,East,New
C0104,2024-05-18,West,VIP
C0105,2026-05-14,West,New
C0106,2025-05-27,South,Returning
C0107,2024-02-16,North,Returning
C0108,2024-01-18,West,Returning
C0109,2025-08-27,West,Returning
C0110,2024-07-31,North,Returning
C0111,2025-12-01,West,New
C0112,2025-06-03,East,Returning
C0113,2024-06-15,East,New
C0114,2025-01-10,East,Returning
C0115,2026-05-27,West,Returning
C0116,2024-10-01,South,Returning
C0117,2024-08-10,West,VIP
C0118,2024-01-31,North,New
C0119,2025-02-21,East,New
C0120,2024-02-28,East,VIP
C0121,2026-05-08,South,New
C0122,2026-04-23,South,Returning
C0123,2025-06-14,North,Returning
C0124,2026-03-13,North,Returning
C0125,2025-09-15,West,Returning
C0126,2024-08-01,South,Returning
C0127,2024-07-21,North,New
C0128,2024-04-17,South,Returning
C0129,2025-06-13,North,Returning
C0130,2025-12-25,East,New
C0131,2024-02-28,North,Returning
C0132,2026-05-17,North,New
C0133,2026-03-14,North,New
C0134,2025-11-17,West,New
C0135,2026-03-11,South,Returning
C0136,2025-02-13,East,New
C0137,2023-09-23,South,VIP
C0138,2026-04-07,South,Returning
C0139,2025-01-09,North,Returning
C0140,2023-11-17,West,Returning
C0141,2026-03-19,East,Returning
C0142,2025-11-02,North,Returning
C0143,2026-06-29,West,New
C0144,2024-07-04,South,Returning
C0145,2024-04-19,East,VIP
C0146,2025-05-05,North,New
C0147,2023-11-01,West,Returning
C0148,2024-01-21,East,VIP
C0149,2025-07-28,West,Returning
C0150,2023-12-07,West,Returning
C0151,2024-08-08,East,New
C0152,2026-04-15,West,Returning
C0153,2024-08-19,East,Returning
C0154,2024-02-09,South,Returning
C0155,2025-02-04,North,Returning
C0156,2024-12-18,East,Returning
C0157,2026-07-28,East,Returning
C0158,2025-12-22,South,Returning
C0159,2024-06-04,West,Returning
C0160,2026-01-17,North,Returning
C0161,2026-06-10,West,New
C0162,2024-09-06,East,Returning
C0163,2024-10-15,West,New
C0164,2024-12-20,North,VIP
C0165,2023-12-28,North,New
C0166,2025-04-09,East,Returning
C0167,2026-06-11,West,New
C0168,2025-01-11,West,New
C0169,2026-03-15,West,New
C0170,2024-06-11,South,New
C0171,2023-12-31,South,Returning
C0172,2025-01-03,East,Returning
C0173,2025-11-07,North,VIP
C0174,2024-07-15,West,VIP
C0175,2025-08-24,North,Returning
C0176,2025-11-24,North,New
C0177,2024-12-09,North,Returning
C0178,2026-03-11,North,New
C0179,2025-05-16,West,Returning
C0180,2026-06-28,North,Returning
C0181,2026-03-24,South,Returning
C0182,2025-12-31,South,Returning
C0183,2025-10-12,East,Returning
C0184,2026-08-25,South,Returning
C0185,2024-03-19,West,New
C0186,2024-06-04,North,New
C0187,2025-04-19,West,VIP
C0188,2024-05-25,North,VIP
C0189,2026-02-21,North,Returning
C0190,2024-12-28,South,VIP
C0191,2026-01-15,North,Returning
C0192,2024-09-05,East,New
C0193,2025-03-17,North,Returning
C0194,2026-03-25,West,Returning
C0195,2026-01-13,West,Returning
C0196,2026-03-01,East,Returning
C0197,2025-10-07,East,Returning
C0198,2024-09-06,South,New
C0199,2023-11-29,West,New
C0200,2024-11-06,West,Returning
C0201,2026-07-30,South,VIP
C0202,2025-06-11,North,Returning
C0203,2024-07-03,North,VIP
C0204,2024-10-24,East,Returning
C0205,2023-12-21,South,Returning
C0206,2025-01-18,East,Returning
C0207,2026-02-14,West,Returning
C0208,2024-05-06,South,Returning
C0209,2024-05-16,West,Returning
C0210,2025-01-10,East,New
C0211,2023-10-19,East,Returning
C0212,2024-01-22,North,Returning
C0213,2026-01-22,North,VIP
C0214,2025-12-15,South,Returning
C0215,2023-11-01,East,Returning
C0216,2026-06-18,East,New
C0217,2026-07-09,East,Returning
C0218,2023-10-12,West,New
C0219,2026-05-28,South,Returning
C0220,2023-11-16,East,New
C0221,2026-01-14,East,New
C0222,2023-09-14,North,VIP
C0223,2025-03-16,North,Returning
C0224,2026-03-03,West,Returning
C0225,2023-12-29,East,Returning
C0226,2024-02-17,South,Returning
C0227,2023-10-13,West,Returning
C0228,2025-08-16,East,Returning
C0229,2023-12-21,East,Returning
C0230,2024-03-03,East,Returning
C0231,2024-12-08,South,Returning
C0232,2026-04-22,East,Returning
C0233,2024-02-21,West,Returning
C0234,2024-10-17,West,Returning
C0235,2026-07-20,South,Returning
C0236,2026-05-09,North,Returning
C0237,2026-03-30,West,Returning
C0238,2025-02-23,East,Returning
C0239,2025-12-07,East,Returning
C0240,2024-10-20,South,New
C0241,2024-09-11,South,New
C0242,2024-05-30,South,VIP
C0243,2025-03-13,South,Returning
C0244,2026-06-11,South,Returning
C0245,2025-12-26,West,VIP
C0246,2026-03-25,South,New
C0247,2024-08-14,West,Returning
C0248,2026-06-20,East,New
C0249,2024-05-03,West,Returning
C0250,2025-04-14,South,New
C0251,2026-08-24,South,Returning
C0252,2025-01-23,West,Returning
C0253,2026-02-04,West,Returning
C0254,2026-02-19,South,Returning
C0255,2024-07-27,North,Returning
C0256,2025-03-20,East,Returning
C0257,2025-03-13,North,Returning
C0258,2025-06-14,West,Returning
C0259,2024-05-26,North,Returning
C0260,2025-05-28,North,Returning
C0261,2024-10-24,South,Returning
C0262,2026-05-03,South,Returning
C0263,2024-03-28,East,Returning
C0264,2024-02-28,North,VIP
C0265,2024-09-14,South,Returning
C0266,2024-05-13,South,New
C0267,2025-08-03,South,Returning
C0268,2024-10-26,East,New
C0269,2024-02-23,North,Returning
C0270,2026-01-17,West,Returning
C0271,2025-12-19,West,Returning
C0272,2025-06-12,East,Returning
C0273,2024-11-07,West,Returning
C0274,2024-04-27,South,Returning
C0275,2023-11-20,South,New
C0276,2024-10-25,South,Returning
C0277,2025-02-26,North,New
C0278,2024-09-29,North,New
C0279,2026-04-07,West,New
C0280,2023-09-16,North,New
C0281,2026-07-14,South,New
C0282,2024-01-24,South,New
C0283,2023-09-28,South,Returning
C0284,2025-03-11,North,Returning
C0285,2024-02-09,South,Returning
C0286,2025-01-28,West,New
C0287,2025-06-30,West,VIP
C0288,2025-06-04,East,New
C0289,2023-10-01,East,Returning
C0290,2024-09-27,West,New
C0291,2023-12-24,West,VIP
C0292,2024-02-06,North,Returning
C0293,2024-08-28,North,Returning
C0294,2025-09-15,West,VIP
C0295,2024-10-16,East,Returning
C0296,2026-01-14,East,Returning
C0297,2024-04-06,West,Returning
C0298,2025-12-19,South,Returning
C0299,2024-06-16,North,Returning
C0300,2024-06-13,East,Returning
C0301,2025-11-03,West,Returning
C0302,2023-12-11,South,New
C0303,2024-12-02,North,New
C0304,2024-06-24,South,Returning
C0305,2025-05-02,West,New
C0306,2024-12-09,West,Returning
C0307,2024-10-19,West,Returning
C0308,2024-09-26,North,Returning
C0309,2026-06-30,North,New
C0310,2023-11-05,West,Returning
C0311,2026-01-17,North,New
C0312,2025-12-10,West,New
C0313,2025-10-24,East,New
C0314,2024-08-11,West,New
C0315,2026-05-29,East,New
C0316,2025-05-19,East,Returning
C0317,2025-03-06,North,New
C0318,2025-11-30,West,Returning
C0319,2026-05-24,South,Returning
C0320,2024-10-08,South,VIP
C0321,2026-06-06,South,Returning
C0322,2026-06-23,East,Returning
C0323,2024-03-06,South,Returning
C0324,2024-03-03,East,Returning
C0325,2024-01-13,North,VIP
C0326,2025-05-07,East,New
C0327,2026-05-19,East,New
C0328,2026-04-02,South,VIP
C0329,2024-12-01,South,New
C0330,2025-06-20,South,New
C0331,2026-03-01,North,New
C0332,2024-03-22,North,New
C0333,2026-01-20,South,New
C0334,2024-09-26,East,VIP
C0335,2025-07-12,South,Returning
C0336,2025-04-28,East,New
C0337,2024-11-05,North,VIP
C0338,2026-02-19,South,Returning
C0339,2024-09-17,North,Returning
C0340,2025-01-04,West,VIP
C0341,2023-09-15,North,Returning
C0342,2024-05-14,South,Returning
C0343,2025-12-08,North,New
C0344,2024-07-14,West,Returning
C0345,2026-08-07,South,VIP
C0346,2026-08-04,South,New
C0347,2025-11-28,South,New
C0348,2024-03-14,North,Returning
C0349,2024-05-14,West,Returning
C0350,2025-03-28,East,Returning
C0351,2025-07-04,East,Returning
C0352,2025-12-15,East,Returning
C0353,2026-07-27,East,New
C0354,2025-01-16,East,Returning
C0355,2024-03-18,North,Returning
C0356,2026-04-24,West,New
C0357,2026-02-21,East,Returning
C0358,2024-08-13,South,New
C0359,2025-12-21,South,Returning
C0360,2024-11-22,East,Returning
C0361,2024-02-09,North,Returning
C0362,2025-09-09,West,New
C0363,2024-10-26,North,New
C0364,2025-06-23,West,VIP
C0365,2025-10-11,North,Returning
C0366,2025-10-05,North,Returning
C0367,2025-02-28,West,New
C0368,2026-01-09,North,Returning
