date,channel,region,spend,impressions
2025-09-01,Organic,North,0.0,410
2025-09-01,Paid,North,884.04,7146
2025-09-01,Email,North,166.11,1419
2025-09-01,Referral,North,107.37,887
2025-09-01,Organic,South,0.0,241
2025-09-01,Paid,South,886.89,7159
2025-09-01,Email,South,138.91,1373
2025-09-01,Referral,South,111.39,1300
2025-09-01,Organic,East,0.0,239
2025-09-01,Paid,East,801.37,8428
2025-09-01,Email,East,130.43,1401
2025-09-01,Referral,East,95.51,1139
2025-09-01,Organic,West,0.0,408
2025-09-01,Paid,West,848.09,8521
2025-09-01,Email,West,156.78,1268
2025-09-01,Referral,West,97.62,921
2025-09-02,Organic,North,0.0,421
2025-09-02,Paid,North,735.28,7118
2025-09-02,Email,North,166.32,1664
2025-09-02,Referral,North,103.26,1131
2025-09-02,Organic,South,0.0,432
2025-09-02,Paid,South,765.59,8178
2025-09-02,Email,South,166.78,1914
2025-09-02,Referral,South,89.83,1069
2025-09-02,Organic,East,0.0,211
2025-09-02,Paid,East,731.25,6577
2025-09-02,Email,East,157.05,1445
2025-09-02,Referral,East,92.0,1075
2025-09-02,Organic,West,0.0,326
2025-09-02,Paid,West,898.9,9114
2025-09-02,Email,West,155.45,1858
2025-09-02,Referral,West,90.72,757
2025-09-03,Organic,North,0.0,222
2025-09-03,Paid,North,774.76,8711
2025-09-03,Email,North,132.28,1468
2025-09-03,Referral,North,107.74,865
2025-09-03,Organic,South,0.0,223
2025-09-03,Paid,South,915.85,9874
2025-09-03,Email,South,136.0,1428
2025-09-03,Referral,South,105.38,889
2025-09-03,Organic,East,0.0,292
2025-09-03,Paid,East,807.89,9571
2025-09-03,Email,East,135.4,1150
2025-09-03,Referral,East,100.55,918
2025-09-03,Organic,West,0.0,462
2025-09-03,Paid,West,809.77,8377
2025-09-03,Email,West,135.93,1347
2025-09-03,Referral,West,93.42,948
2025-09-04,Organic,North,0.0,338
2025-09-04,Paid,North,806.37,8466
2025-09-04,Email,North,169.75,1864
2025-09-04,Referral,North,111.48,988
2025-09-04,Organic,South,0.0,207
2025-09-04,Paid,South,806.19,9548
2025-09-04,Email,South,153.14,1509
2025-09-04,Referral,South,107.47,1105
2025-09-04,Organic,East,0.0,317
2025-09-04,Paid,East,850.78,7547
2025-09-04,Email,East,144.94,1200
2025-09-04,Referral,East,104.28,1088
2025-09-04,Organic,West,0.0,389
2025-09-04,Paid,West,909.01,10028
2025-09-04,Email,West,161.82,1378
2025-09-04,Referral,West,109.48,1310
2025-09-05,Organic,North,0.0,478
2025-09-05,Paid,North,857.21,9928
2025-09-05,Email,North,155.6,1684
2025-09-05,Referral,North,88.05,795
2025-09-05,Organic,South,0.0,269
2025-09-05,Paid,South,766.48,8695
2025-09-05,Email,South,128.96,1043
2025-09-05,Referral,South,85.77,984
2025-09-05,Organic,East,0.0,226
2025-09-05,Paid,East,734.75,6765
2025-09-05,Email,East,136.94,1541
2025-09-05,Referral,East,114.09,1249
2025-09-05,Organic,West,0.0,397
2025-09-05,Paid,West,836.48,8051
2025-09-05,Email,West,151.4,1713
2025-09-05,Referral,West,104.31,1130
2025-09-06,Organic,North,0.0,201
2025-09-06,Paid,North,886.73,9940
2025-09-06,Email,North,166.33,1948
2025-09-06,Referral,North,100.65,1206
2025-09-06,Organic,South,0.0,209
2025-09-06,Paid,South,883.33,10307
2025-09-06,Email,South,150.37,1261
2025-09-06,Referral,South,101.01,1181
2025-09-06,Organic,East,0.0,456
2025-09-06,Paid,East,701.22,8412
2025-09-06,Email,East,144.76,1687
2025-09-06,Referral,East,103.27,1017
2025-09-06,Organic,West,0.0,395
2025-09-06,Paid,West,802.39,6888
2025-09-06,Email,West,146.52,1557
2025-09-06,Referral,West,92.05,955
