order_id,customer_id,product_id,order_date,quantity,revenue,channel
O000001,C0212,P0007,2025-09-01,2,123.96,Email
O000002,C0280,P0004,2025-09-01,2,235.4,Email
O000003,C0768,P0010,2025-09-01,3,109.59,Paid
O000004,C0303,P0015,2025-09-01,1,52.3,Organic
O000005,C0164,P0012,2025-09-01,2,79.86,Paid
O000006,C0332,P0012,2025-09-01,1,39.93,Organic
O000007,C0675,P0018,2025-09-01,3,260.13,Paid
O000008,C0203,P0021,2025-09-01,1,117.78,Paid
O000009,C0473,P0024,2025-09-01,3,320.91,Paid
O000010,C0724,P0032,2025-09-01,1,10.99,Email
O000011,C0644,P0001,2025-09-01,3,941.58,Paid
O000012,C0773,P0002,2025-09-01,1,224.66,Email
O000013,C0261,P0009,2025-09-01,2,97.3,Organic
O000014,C0721,P0023,2025-09-01,2,250.92,Paid
O000015,C0557,P0021,2025-09-01,2,235.56,Paid
O000016,C0699,P0028,2025-09-01,2,45.44,Organic
O000017,C0719,P0038,2025-09-01,3,309.06,Paid
O000018,C0300,P0003,2025-09-01,2,195.94,Email
O000019,C0668,P0019,2025-09-01,3,238.77,Email
O000020,C0496,P0023,2025-09-01,1,125.46,Paid
O000021,C0471,P0017,2025-09-01,1,123.38,Paid
O000022,C0336,P0024,2025-09-01,1,106.97,Paid
O000023,C0008,P0022,2025-09-01,1,130.38,Paid
O000024,C0585,P0030,2025-09-01,3,48.03,Paid
O000025,C0215,P0029,2025-09-01,3,68.67,Organic
O000026,C0502,P0035,2025-09-01,3,289.29,Paid
O000027,C0669,P0036,2025-09-01,1,28.53,Paid
O000028,C0713,P0037,2025-09-01,1,82.31,Organic
O000029,C0078,P0033,2025-09-01,2,167.96,Email
O000030,C0471,P0037,2025-09-01,3,246.93,Paid
O000031,C0149,P0004,2025-09-01,1,117.7,Paid
O000032,C0593,P0015,2025-09-01,2,104.6,Paid
O000033,C0291,P0011,2025-09-01,3,131.46,Paid
O000034,C0185,P0018,2025-09-01,3,260.13,Paid
O000035,C0375,P0020,2025-09-01,3,338.19,Paid
O000036,C0501,P0029,2025-09-01,3,68.67,Email
O000037,C0493,P0030,2025-09-01,2,32.02,Paid
O000038,C0707,P0028,2025-09-01,3,68.16,Organic
O000039,C0441,P0037,2025-09-01,1,82.31,Organic
O000040,C0056,P0037,2025-09-01,3,246.93,Paid
O000041,C0551,P0040,2025-09-01,3,105.9,Paid
O000042,C0743,P0002,2025-09-02,1,224.66,Paid
O000043,C0094,P0016,2025-09-02,2,59.64,Paid
O000044,C0129,P0013,2025-09-02,3,129.78,Paid
O000045,C0797,P0014,2025-09-02,3,184.29,Paid
O000046,C0038,P0010,2025-09-02,2,73.06,Paid
O000047,C0332,P0018,2025-09-02,3,260.13,Paid
O000048,C0589,P0022,2025-09-02,1,130.38,Paid
O000049,C0361,P0017,2025-09-02,1,123.38,Paid
O000050,C0097,P0019,2025-09-02,1,79.59,Paid
O000051,C0788,P0027,2025-09-02,2,89.92,Referral
O000052,C0202,P0035,2025-09-02,1,96.43,Paid
O000053,C0600,P0040,2025-09-02,1,35.3,Paid
O000054,C0041,P0036,2025-09-02,1,28.53,Email
O000055,C0358,P0006,2025-09-02,2,318.4,Paid
O000056,C0774,P0007,2025-09-02,1,61.98,Paid
O000057,C0756,P0001,2025-09-02,2,627.72,Referral
O000058,C0698,P0018,2025-09-02,3,260.13,Paid
O000059,C0644,P0022,2025-09-02,2,260.76,Referral
O000060,C0198,P0022,2025-09-02,3,391.14,Paid
O000061,C0777,P0022,2025-09-02,2,260.76,Email
O000062,C0266,P0025,2025-09-02,2,92.12,Organic
O000063,C0719,P0026,2025-09-02,2,35.72,Organic
O000064,C0728,P0030,2025-09-02,2,32.02,Paid
O000065,C0758,P0031,2025-09-02,1,29.85,Paid
O000066,C0409,P0033,2025-09-02,2,167.96,Paid
O000067,C0106,P0038,2025-09-02,2,206.04,Organic
O000068,C0591,P0033,2025-09-02,1,83.98,Paid
O000069,C0250,P0037,2025-09-02,3,246.93,Organic
O000070,C0695,P0007,2025-09-02,3,185.94,Paid
O000071,C0502,P0012,2025-09-02,1,39.93,Paid
O000072,C0527,P0020,2025-09-02,2,225.46,Email
O000073,C0153,P0020,2025-09-02,3,338.19,Paid
O000074,C0636,P0019,2025-09-02,3,238.77,Organic
O000075,C0577,P0030,2025-09-02,2,32.02,Paid
O000076,C0572,P0032,2025-09-02,1,10.99,Paid
O000077,C0449,P0034,2025-09-02,1,93.55,Paid
O000078,C0636,P0037,2025-09-02,2,164.62,Paid
O000079,C0100,P0004,2025-09-02,3,353.1,Organic
O000080,C0740,P0006,2025-09-02,3,477.6,Paid
O000081,C0039,P0015,2025-09-02,1,52.3,Paid
O000082,C0469,P0021,2025-09-02,2,235.56,Organic
O000083,C0367,P0017,2025-09-02,2,246.76,Paid
O000084,C0603,P0019,2025-09-02,3,238.77,Paid
O000085,C0492,P0023,2025-09-02,3,376.38,Paid
O000086,C0551,P0023,2025-09-02,2,250.92,Email
O000087,C0555,P0024,2025-09-02,2,213.94,Paid
O000088,C0561,P0022,2025-09-02,2,260.76,Paid
O000089,C0555,P0026,2025-09-02,3,53.58,Paid
O000090,C0525,P0030,2025-09-02,1,16.01,Referral
O000091,C0373,P0035,2025-09-02,3,289.29,Paid
O000092,C0441,P0040,2025-09-02,1,35.3,Paid
O000093,C0127,P0002,2025-09-03,3,673.98,Paid
O000094,C0222,P0004,2025-09-03,3,353.1,Email
O000095,C0038,P0011,2025-09-03,3,131.46,Referral
O000096,C0657,P0011,2025-09-03,2,87.64,Paid
O000097,C0454,P0020,2025-09-03,1,112.73,Paid
O000098,C0455,P0019,2025-09-03,1,79.59,Paid
O000099,C0175,P0022,2025-09-03,3,391.14,Paid
O000100,C0038,P0022,2025-09-03,1,130.38,Paid
O000101,C0129,P0029,2025-09-03,2,45.78,Email
O000102,C0673,P0030,2025-09-03,3,48.03,Paid
O000103,C0768,P0035,2025-09-03,3,289.29,Email
O000104,C0348,P0035,2025-09-03,3,289.29,Paid
O000105,C0549,P0039,2025-09-03,1,18.78,Paid
O000106,C0675,P0035,2025-09-03,2,192.86,Paid
O000107,C0370,P0003,2025-09-03,2,195.94,Organic
O000108,C0116,P0009,2025-09-03,2,97.3,Organic
O000109,C0423,P0012,2025-09-03,3,119.79,Paid
O000110,C0261,P0023,2025-09-03,3,376.38,Paid
O000111,C0642,P0022,2025-09-03,1,130.38,Paid
O000112,C0748,P0032,2025-09-03,3,32.97,Paid
O000113,C0267,P0030,2025-09-03,2,32.02,Paid
O000114,C0033,P0032,2025-09-03,3,32.97,Email
O000115,C0481,P0039,2025-09-03,2,37.56,Paid
O000116,C0433,P0034,2025-09-03,3,280.65,Paid
O000117,C0728,P0033,2025-09-03,3,251.94,Paid
O000118,C0272,P0002,2025-09-03,3,673.98,Paid
O000119,C0464,P0013,2025-09-03,2,86.52,Paid
O000120,C0653,P0020,2025-09-03,1,112.73,Email
O000121,C0032,P0024,2025-09-03,1,106.97,Email
O000122,C0478,P0026,2025-09-03,2,35.72,Paid
O000123,C0456,P0028,2025-09-03,3,68.16,Organic
O000124,C0620,P0029,2025-09-03,2,45.78,Paid
O000125,C0075,P0035,2025-09-03,3,289.29,Paid
O000126,C0300,P0034,2025-09-03,3,280.65,Paid
O000127,C0646,P0033,2025-09-03,1,83.98,Email
O000128,C0638,P0038,2025-09-03,2,206.04,Paid
O000129,C0498,P0006,2025-09-03,3,477.6,Paid
