product_id,category,price,cost
P0001,Electronics,313.86,204.01
P0002,Electronics,224.66,146.03
P0003,Electronics,97.97,63.68
P0004,Electronics,117.7,76.51
P0005,Electronics,176.55,114.76
P0006,Electronics,159.2,103.48
P0007,Electronics,61.98,40.29
P0008,Electronics,186.3,121.1
P0009,Apparel,48.65,21.89
P0010,Apparel,36.53,16.44
P0011,Apparel,43.82,19.72
P0012,Apparel,39.93,17.97
P0013,Apparel,43.26,19.47
P0014,Apparel,61.43,27.64
P0015,Apparel,52.3,23.53
P0016,Apparel,29.82,13.42
P0017,Home,123.38,67.86
P0018,Home,86.71,47.69
P0019,Home,79.59,43.77
P0020,Home,112.73,62.0
P0021,Home,117.78,64.78
P0022,Home,130.38,71.71
P0023,Home,125.46,69.0
P0024,Home,106.97,58.83
P0025,Beauty,46.06,18.42
P0026,Beauty,17.86,7.14
P0027,Beauty,44.96,17.98
P0028,Beauty,22.72,9.09
P0029,Beauty,22.89,9.16
P0030,Beauty,16.01,6.4
P0031,Beauty,29.85,11.94
P0032,Beauty,10.99,4.4
P0033,Sports,83.98,41.99
P0034,Sports,93.55,46.77
P0035,Sports,96.43,48.22
P0036,Sports,28.53,14.27
P0037,Sports,82.31,41.16
P0038,Sports,103.02,51.51
P0039,Sports,18.78,9.39
P0040,Sports,35.3,17.65
