customer_id,signup_date,region,segment
C0001,2024-01-26,North,Returning
C0002,2025-06-08,East,New
C0003,2025-02-14,North,VIP
C0004,2025-04-23,North,New
C0005,2025-12-05,West,Returning
C0006,2026-04-08,South,Returning
C0007,2024-12-30,East,New
C0008,2026-03-26,North,Returning
C0009,2024-05-29,East,Returning
C0010,2026-06-27,West,Returning
C0011,2026-08-11,West,New
C0012,2024-08-04,East,Returning
C0013,2026-08-13,South,Returning
C0014,2025-10-29,North,Returning
C0015,2026-04-29,West,New
C0016,2025-12-31,South,New
C0017,2023-09-17,North,VIP
C0018,2024-07-29,South,New
C0019,2026-03-28,East,New
C0020,2025-05-10,West,New
C0021,2025-07-01,North,New
C0022,2024-12-28,South,Returning
C0023,2024-09-06,West,Returning
C0024,2025-11-26,South,New
C0025,2024-08-02,North,VIP
C0026,2023-12-09,South,Returning
C0027,2026-03-27,North,New
C0028,2024-03-29,West,Returning
C0029,2023-09-24,South,Returning
C0030,2024-08-05,North,New
C0031,2025-02-28,North,Returning
C0032,2023-09-10,South,New
C0033,2025-08-07,East,New
C0034,2026-06-08,North,Returning
C0035,2026-04-07,West,New
C0036,2024-12-01,West,New
C0037,2025-09-15,North,New
C0038,2024-09-30,South,Returning
C0039,2025-08-19,South,VIP
C0040,2026-07-03,North,Returning
C0041,2025-02-04,South,VIP
C0042,2024-10-08,West,Returning
C0043,2026-06-21,South,Returning
C0044,2026-08-30,East,New
C0045,2023-12-28,North,Returning
C0046,2026-08-08,North,Returning
C0047,2024-07-28,East,Returning
C0048,2023-11-29,East,Returning
C0049,2026-04-20,West,VIP
C0050,2025-02-07,North,Returning
C0051,2024-03-12,North,Returning
C0052,2025-02-09,West,VIP
C0053,2024-03-03,West,New
C0054,2023-11-18,South,New
C0055,2025-04-19,West,New
C0056,2026-07-24,North,Returning
C0057,2025-12-07,North,VIP
C0058,2024-09-05,East,New
C0059,2023-09-02,South,New
C0060,2024-05-08,East,New
C0061,2023-09-09,North,New
C0062,2026-03-14,East,Returning
C0063,2024-02-25,South,Returning
C0064,2024-01-30,South,New
C0065,2024-05-03,South,Returning
C0066,2023-12-30,West,New
C0067,2023-12-01,North,Returning
C0068,2025-09-15,West,VIP
