date,channel,region,spend,impressions
2025-09-01,Organic,North,0.0,336
2025-09-01,Paid,North,903.74,10692
2025-09-01,Email,North,133.96,1339
2025-09-01,Referral,North,110.28,1290
2025-09-01,Organic,South,0.0,493
2025-09-01,Paid,South,751.25,7905
2025-09-01,Email,South,157.04,1287
2025-09-01,Referral,South,111.07,1022
2025-09-01,Organic,East,0.0,317
2025-09-01,Paid,East,846.19,7482
2025-09-01,Email,East,135.44,1212
2025-09-01,Referral,East,105.24,1237
2025-09-01,Organic,West,0.0,419
2025-09-01,Paid,West,730.58,7774
2025-09-01,Email,West,128.86,1083
2025-09-01,Referral,West,112.85,1319
2025-09-02,Organic,North,0.0,384
2025-09-02,Paid,North,816.42,8129
2025-09-02,Email,North,130.92,1185
2025-09-02,Referral,North,110.26,1135
2025-09-02,Organic,South,0.0,403
2025-09-02,Paid,South,739.36,7400
2025-09-02,Email,South,169.24,1915
2025-09-02,Referral,South,97.82,988
2025-09-02,Organic,East,0.0,215
2025-09-02,Paid,East,814.38,8509
2025-09-02,Email,East,151.09,1254
2025-09-02,Referral,East,100.28,946
2025-09-02,Organic,West,0.0,487
2025-09-02,Paid,West,725.73,7258
2025-09-02,Email,West,137.45,1401
2025-09-02,Referral,West,111.64,1125
2025-09-03,Organic,North,0.0,408
2025-09-03,Paid,North,807.19,8012
2025-09-03,Email,North,141.37,1675
2025-09-03,Referral,North,102.06,1182
2025-09-03,Organic,South,0.0,417
2025-09-03,Paid,South,773.8,7800
2025-09-03,Email,South,163.6,1742
2025-09-03,Referral,South,89.5,922
2025-09-03,Organic,East,0.0,294
2025-09-03,Paid,East,860.97,8760
2025-09-03,Email,East,144.55,1481
2025-09-03,Referral,East,96.44,1034
2025-09-03,Organic,West,0.0,342
2025-09-03,Paid,West,687.47,7233
2025-09-03,Email,West,153.4,1535
2025-09-03,Referral,West,88.2,787
2025-09-04,Organic,North,0.0,361
2025-09-04,Paid,North,682.51,6951
2025-09-04,Email,North,156.53,1624
2025-09-04,Referral,North,91.34,1072
2025-09-04,Organic,South,0.0,215
2025-09-04,Paid,South,880.82,9958
2025-09-04,Email,South,128.27,1389
2025-09-04,Referral,South,97.62,785
2025-09-04,Organic,East,0.0,209
2025-09-04,Paid,East,834.71,7270
2025-09-04,Email,East,164.32,1660
2025-09-04,Referral,East,113.22,1324
2025-09-04,Organic,West,0.0,482
2025-09-04,Paid,West,871.31,10046
2025-09-04,Email,West,131.25,1300
2025-09-04,Referral,West,105.27,1093
2025-09-05,Organic,North,0.0,339
2025-09-05,Paid,North,847.5,9817
2025-09-05,Email,North,155.02,1452
2025-09-05,Referral,North,97.49,1085
2025-09-05,Organic,South,0.0,375
2025-09-05,Paid,South,816.22,9741
2025-09-05,Email,South,163.42,1496
2025-09-05,Referral,South,111.34,1004
2025-09-05,Organic,East,0.0,200
2025-09-05,Paid,East,839.68,8202
2025-09-05,Email,East,128.71,1257
2025-09-05,Referral,East,89.04,888
2025-09-05,Organic,West,0.0,440
2025-09-05,Paid,West,731.29,6001
2025-09-05,Email,West,143.53,1650
2025-09-05,Referral,West,96.29,1013
2025-09-06,Organic,North,0.0,227
2025-09-06,Paid,North,860.99,8549
2025-09-06,Email,North,152.73,1271
2025-09-06,Referral,North,88.09,891
2025-09-06,Organic,South,0.0,211
2025-09-06,Paid,South,757.55,6191
2025-09-06,Email,South,138.72,1644
2025-09-06,Referral,South,87.88,762
2025-09-06,Organic,East,0.0,259
2025-09-06,Paid,East,845.92,9346
2025-09-06,Email,East,157.39,1351
2025-09-06,Referral,East,97.68,938
2025-09-06,Organic,West,0.0,326
2025-09-06,Paid,West,844.14,8118
2025-09-06,Email,West,133.48,1416
2025-09-06,Referral,West,92.35,1003
2025-09-07,Organic,North,0.0,242
2025-09-07,Paid,North,836.35,9976
2025-09-07,Email,North,131.55,1079
2025-09-07,Referral,North,96.44,1099
2025-09-07,Organic,South,0.0,212
2025-09-07,Paid,South,703.63,7490
2025-09-07,Email,South,171.96,1444
2025-09-07,Referral,South,103.67,1123
2025-09-07,Organic,East,0.0,471
2025-09-07,Paid,East,820.9,8078
2025-09-07,Email,East,146.95,1260
2025-09-07,Referral,East,90.85,930
2025-09-07,Organic,West,0.0,455
2025-09-07,Paid,West,832.44,8595
2025-09-07,Email,West,169.26,1961
2025-09-07,Referral,West,88.92,766
2025-09-08,Organic,North,0.0,277
2025-09-08,Paid,North,811.58,7180
2025-09-08,Email,North,168.64,1898
2025-09-08,Referral,North,104.64,852
2025-09-08,Organic,South,0.0,372
2025-09-08,Paid,South,732.72,7489
2025-09-08,Email,South,162.28,1724
2025-09-08,Referral,South,96.77,850
2025-09-08,Organic,East,0.0,483
2025-09-08,Paid,East,731.81,6254
2025-09-08,Email,East,128.39,1436
2025-09-08,Referral,East,95.89,769
2025-09-08,Organic,West,0.0,449
2025-09-08,Paid,West,712.31,8030
2025-09-08,Email,West,147.11,1755
2025-09-08,Referral,West,89.47,847
2025-09-09,Organic,North,0.0,244
2025-09-09,Paid,North,781.37,6713
2025-09-09,Email,North,141.51,1496
2025-09-09,Referral,North,85.28,886
2025-09-09,Organic,South,0.0,376
2025-09-09,Paid,South,718.02,6063
2025-09-09,Email,South,136.48,1433
2025-09-09,Referral,South,98.49,858
2025-09-09,Organic,East,0.0,278
2025-09-09,Paid,East,747.82,6175
2025-09-09,Email,East,137.53,1362
2025-09-09,Referral,East,114.81,1360
2025-09-09,Organic,West,0.0,481
2025-09-09,Paid,West,901.13,7876
2025-09-09,Email,West,150.68,1281
2025-09-09,Referral,West,90.45,998
2025-09-10,Organic,North,0.0,259
2025-09-10,Paid,North,841.93,6800
2025-09-10,Email,North,145.87,1686
2025-09-10,Referral,North,98.7,841
2025-09-10,Organic,South,0.0,324
2025-09-10,Paid,South,869.65,9449
2025-09-10,Email,South,156.95,1459
2025-09-10,Referral,South,105.04,1180
2025-09-10,Organic,East,0.0,314
2025-09-10,Paid,East,773.03,6823
2025-09-10,Email,East,135.64,1203
2025-09-10,Referral,East,107.08,942
2025-09-10,Organic,West,0.0,262
2025-09-10,Paid,West,908.0,7856
2025-09-10,Email,West,162.56,1851
