order_id,customer_id,product_id,order_date,quantity,revenue,channel
O000001,C0488,P0001,2025-09-01,3,120.9,Email
O000002,C0384,P0005,2025-09-01,1,66.32,Organic
O000003,C0233,P0014,2025-09-01,3,163.5,Paid
O000004,C0252,P0018,2025-09-01,1,87.21,Paid
O000005,C0540,P0020,2025-09-01,3,436.02,Organic
O000006,C0129,P0026,2025-09-01,1,21.87,Email
O000007,C0240,P0026,2025-09-01,3,65.61,Paid
O000008,C0367,P0027,2025-09-01,3,40.17,Organic
O000009,C0335,P0034,2025-09-01,2,107.82,Organic
O000010,C0305,P0037,2025-09-01,3,192.54,Paid
O000011,C0654,P0039,2025-09-01,1,110.51,Organic
O000012,C0207,P0008,2025-09-01,2,378.78,Paid
O000013,C0686,P0006,2025-09-01,3,262.62,Organic
O000014,C0468,P0008,2025-09-01,1,189.39,Organic
O000015,C0194,P0016,2025-09-01,3,90.9,Organic
O000016,C0171,P0012,2025-09-01,2,90.12,Organic
O000017,C0278,P0022,2025-09-01,1,41.19,Referral
O000018,C0553,P0020,2025-09-01,1,145.34,Paid
O000019,C0334,P0028,2025-09-01,2,44.4,Paid
O000020,C0026,P0031,2025-09-01,2,118.8,Organic
O000021,C0239,P0026,2025-09-01,2,43.74,Paid
O000022,C0264,P0037,2025-09-01,3,192.54,Organic
O000023,C0482,P0010,2025-09-01,3,58.2,Email
O000024,C0267,P0009,2025-09-01,3,228.84,Paid
O000025,C0525,P0019,2025-09-01,3,197.31,Referral
O000026,C0179,P0020,2025-09-01,2,290.68,Paid
O000027,C0786,P0026,2025-09-01,1,21.87,Organic
O000028,C0227,P0032,2025-09-01,3,118.86,Referral
O000029,C0073,P0029,2025-09-01,3,73.35,Organic
O000030,C0267,P0035,2025-09-01,2,120.8,Referral
O000031,C0020,P0006,2025-09-01,3,262.62,Paid
O000032,C0147,P0014,2025-09-01,3,163.5,Email
O000033,C0614,P0018,2025-09-01,2,174.42,Organic
O000034,C0276,P0021,2025-09-01,3,335.28,Email
O000035,C0042,P0022,2025-09-01,2,82.38,Organic
O000036,C0720,P0024,2025-09-01,3,285.51,Referral
O000037,C0198,P0018,2025-09-01,3,261.63,Organic
O000038,C0713,P0024,2025-09-01,1,95.17,Referral
O000039,C0338,P0028,2025-09-01,3,66.6,Organic
O000040,C0682,P0030,2025-09-01,1,27.21,Organic
O000041,C0255,P0028,2025-09-01,3,66.6,Organic
O000042,C0561,P0036,2025-09-01,2,47.46,Paid
O000043,C0667,P0040,2025-09-01,3,181.47,Organic
O000044,C0198,P0039,2025-09-01,2,221.02,Organic
O000045,C0351,P0039,2025-09-01,3,331.53,Paid
O000046,C0610,P0038,2025-09-01,2,136.74,Email
O000047,C0066,P0038,2025-09-01,1,68.37,Organic
O000048,C0659,P0003,2025-09-02,2,671.94,Email
O000049,C0790,P0005,2025-09-02,1,66.32,Paid
O000050,C0141,P0002,2025-09-02,2,534.12,Paid
O000051,C0100,P0023,2025-09-02,1,145.99,Paid
O000052,C0756,P0023,2025-09-02,1,145.99,Organic
O000053,C0129,P0019,2025-09-02,3,197.31,Email
O000054,C0371,P0024,2025-09-02,2,190.34,Organic
O000055,C0715,P0029,2025-09-02,3,73.35,Organic
O000056,C0606,P0026,2025-09-02,3,65.61,Email
O000057,C0439,P0038,2025-09-02,1,68.37,Paid
O000058,C0715,P0036,2025-09-02,1,23.73,Referral
O000059,C0453,P0035,2025-09-02,2,120.8,Organic
O000060,C0504,P0036,2025-09-02,2,47.46,Paid
O000061,C0715,P0035,2025-09-02,3,181.2,Paid
O000062,C0018,P0005,2025-09-02,3,198.96,Organic
O000063,C0416,P0007,2025-09-02,2,135.86,Paid
O000064,C0762,P0004,2025-09-02,3,545.58,Paid
O000065,C0041,P0003,2025-09-02,2,671.94,Paid
O000066,C0740,P0004,2025-09-02,3,545.58,Referral
O000067,C0645,P0009,2025-09-02,2,152.56,Referral
O000068,C0577,P0009,2025-09-02,2,152.56,Referral
O000069,C0694,P0011,2025-09-02,2,90.86,Organic
