product_id,category,price,cost
P0001,Electronics,40.3,26.2
P0002,Electronics,267.06,173.59
P0003,Electronics,335.97,218.38
P0004,Electronics,181.86,118.21
P0005,Electronics,66.32,43.11
P0006,Electronics,87.54,56.9
P0007,Electronics,67.93,44.15
P0008,Electronics,189.39,123.1
P0009,Apparel,76.28,34.33
P0010,Apparel,19.4,8.73
P0011,Apparel,45.43,20.44
P0012,Apparel,45.06,20.28
P0013,Apparel,44.86,20.19
P0014,Apparel,54.5,24.52
P0015,Apparel,55.14,24.81
P0016,Apparel,30.3,13.63
P0017,Home,123.28,67.8
P0018,Home,87.21,47.97
P0019,Home,65.77,36.17
P0020,Home,145.34,79.94
P0021,Home,111.76,61.47
P0022,Home,41.19,22.65
P0023,Home,145.99,80.29
P0024,Home,95.17,52.34
P0025,Beauty,27.01,10.8
P0026,Beauty,21.87,8.75
P0027,Beauty,13.39,5.36
P0028,Beauty,22.2,8.88
P0029,Beauty,24.45,9.78
P0030,Beauty,27.21,10.88
P0031,Beauty,59.4,23.76
P0032,Beauty,39.62,15.85
P0033,Sports,35.18,17.59
P0034,Sports,53.91,26.95
P0035,Sports,60.4,30.2
P0036,Sports,23.73,11.87
P0037,Sports,64.18,32.09
P0038,Sports,68.37,34.19
P0039,Sports,110.51,55.26
P0040,Sports,60.49,30.25
