customer_id,signup_date,region,segment
C0001,2023-10-11,East,Returning
C0002,2024-06-16,North,New
C0003,2024-01-11,East,VIP
C0004,2024-12-22,North,New
C0005,2023-12-28,East,Returning
C0006,2025-09-19,South,Returning
C0007,2025-02-07,North,Returning
C0008,2024-02-15,South,Returning
C0009,2024-01-29,East,Returning
C0010,2023-11-27,East,Returning
C0011,2024-07-14,North,Returning
C0012,2024-07-16,East,VIP
C0013,2024-01-01,West,New
C0014,2024-04-27,West,New
C0015,2024-03-10,East,Returning
C0016,2023-09-05,West,VIP
C0017,2023-10-16,East,VIP
C0018,2026-03-14,South,New
C0019,2025-05-17,North,Returning
C0020,2026-01-11,East,Returning
C0021,2024-11-22,East,New
C0022,2024-09-15,West,Returning
C0023,2026-02-15,West,Returning
C0024,2023-10-07,West,Returning
C0025,2026-07-25,North,Returning
C0026,2025-06-12,South,Returning
C0027,2024-03-25,West,Returning
C0028,2024-05-19,West,New
C0029,2026-04-18,East,Returning
C0030,2023-12-05,North,Returning
C0031,2024-10-10,West,Returning
C0032,2025-07-02,East,Returning
C0033,2026-05-10,East,New
C0034,2024-11-01,North,Returning
C0035,2026-04-01,South,New
C0036,2025-03-03,West,New
C0037,2023-09-04,West,Returning
C0038,2025-05-01,East,Returning
C0039,2026-05-06,North,Returning
C0040,2025-12-11,South,Returning
C0041,2026-08-18,East,VIP
C0042,2026-06-12,South,Returning
C0043,2024-02-08,South,Returning
C0044,2026-02-01,North,VIP
C0045,2025-05-18,North,Returning
C0046,2025-07-08,North,New
C0047,2024-02-21,West,Returning
C0048,2023-11-17,North,New
C0049,2024-12-07,North,VIP
C0050,2024-12-27,West,Returning
C0051,2026-05-14,East,Returning
C0052,2026-08-07,North,New
C0053,2026-02-27,South,Returning
C0054,2024-09-04,West,Returning
C0055,2025-11-24,North,Returning
C0056,2026-06-20,West,Returning
C0057,2024-08-11,East,New
C0058,2024-12-21,West,New
C0059,2023-10-09,East,New
C0060,2025-06-30,East,Returning
C0061,2024-05-21,West,Returning
C0062,2023-10-17,West,Returning
C0063,2024-01-29,North,VIP
C0064,2024-05-20,West,Returning
C0065,2024-04-28,West,New
C0066,2026-05-19,West,New
C0067,2024-11-09,South,New
C0068,2025-06-19,South,New
C0069,2026-08-14,North,Returning
C0070,2025-02-14,North,Returning
C0071,2026-08-28,East,New
C0072,2024-09-24,West,Returning
C0073,2024-06-24,West,Returning
C0074,2024-08-26,West,New
C0075,2024-01-05,North,Returning
C0076,2024-01-05,North,Returning
C0077,2024-07-18,East,VIP
C0078,2025-05-08,North,Returning
C0079,2025-12-02,West,Returning
C0080,2025-07-22,South,New
C0081,2025-10-05,North,Returning
C0082,2025-05-29,North,Returning
C0083,2025-01-08,East,Returning
C0084,2023-10-27,East,VIP
C0085,2025-12-02,North,Returning
C0086,2024-11-13,East,Returning
C0087,2023-10-01,South,New
C0088,2024-12-26,South,Returning
C0089,2023-10-10,West,New
C0090,2025-07-10,West,Returning
C0091,2025-09-03,South,Returning
C0092,2026-01-10,North,VIP
C0093,2026-05-07,South,New
C0094,2026-08-22,West,VIP
C0095,2025-07-02,East,VIP
C0096,2023-09-24,South,Returning
C0097,2026-06-16,South,Returning
C0098,2025-10-14,South,Returning
C0099,2023-12-18,South,Returning
C0100,2024-02-08,East,New
C0101,2025-03-09,South,VIP
C0102,2024-10-25,South,Returning
C0103,2023-12-01,West,VIP
C0104,2025-11-20,West,New
C0105,2023-11-20,West,New
C0106,2024-08-18,East,VIP
C0107,2025-01-30,East,New
C0108,2024-10-27,East,New
C0109,2023-12-29,West,New
C0110,2025-02-24,North,Returning
C0111,2024-03-31,East,VIP
C0112,2025-02-21,North,Returning
C0113,2026-05-21,South,VIP
C0114,2023-12-11,East,New
C0115,2025-04-06,East,Returning
C0116,2026-06-13,West,Returning
C0117,2024-11-15,South,Returning
C0118,2024-03-20,North,Returning
C0119,2024-10-30,South,Returning
C0120,2024-07-15,North,New
C0121,2024-09-05,South,Returning
C0122,2023-10-13,West,VIP
C0123,2024-12-05,North,Returning
C0124,2024-03-15,West,Returning
C0125,2023-11-18,North,Returning
C0126,2024-02-13,West,VIP
C0127,2023-09-23,East,Returning
C0128,2023-09-16,North,Returning
C0129,2024-08-06,South,New
C0130,2024-12-01,East,New
C0131,2023-12-25,South,New
C0132,2023-10-01,South,New
C0133,2025-12-02,East,VIP
C0134,2026-01-14,East,VIP
C0135,2023-10-17,West,Returning
C0136,2025-02-08,West,New
C0137,2024-03-11,East,VIP
C0138,2025-06-18,East,VIP
C0139,2026-06-22,South,New
C0140,2025-05-26,North,New
C0141,2025-10-03,East,Returning
C0142,2024-10-11,North,VIP
C0143,2024-12-04,South,New
C0144,2024-07-05,East,New
C0145,2026-08-19,South,Returning
C0146,2024-07-19,East,New
C0147,2024-02-14,West,Returning
C0148,2024-08-28,East,Returning
C0149,2023-12-06,West,New
C0150,2024-10-21,South,Returning
C0151,2024-08-09,South,Returning
C0152,2024-06-14,East,Returning
C0153,2024-08-20,West,Returning
C0154,2024-09-10,East,Returning
C0155,2024-02-14,East,VIP
C0156,2025-07-21,West,New
C0157,2025-10-28,West,Returning
C0158,2024-01-04,South,Returning
C0159,2026-04-03,East,Returning
C0160,2025-01-18,West,Returning
C0161,2024-09-11,North,New
C0162,2025-07-18,South,VIP
C0163,2026-06-21,East,Returning
C0164,2024-02-10,West,Returning
C0165,2026-03-03,North,New
C0166,2026-07-23,East,Returning
C0167,2025-04-28,North,Returning
C0168,2026-08-26,West,Returning
C0169,2024-05-01,North,Returning
C0170,2025-04-12,North,VIP
C0171,2024-11-15,East,VIP
C0172,2025-07-10,West,VIP
C0173,2025-10-23,East,Returning
C0174,2024-11-18,North,Returning
C0175,2026-05-16,North,New
C0176,2024-07-29,East,Returning
C0177,2026-07-09,North,Returning
C0178,2025-09-23,North,New
C0179,2024-12-19,East,Returning
C0180,2025-09-23,South,Returning
C0181,2026-01-12,West,Returning
C0182,2026-02-05,West,Returning
C0183,2024-05-05,West,Returning
C0184,2025-06-15,East,Returning
C0185,2025-07-06,West,Returning
C0186,2026-01-28,West,Returning
C0187,2024-12-17,East,Returning
C0188,2026-05-02,West,Returning
C0189,2025-07-10,South,Returning
C0190,2024-01-30,North,New
C0191,2025-09-07,West,New
C0192,2024-08-04,South,Returning
C0193,2024-11-05,North,Returning
C0194,2026-08-15,South,New
C0195,2023-11-25,South,Returning
C0196,2023-12-27,West,Returning
C0197,2024-01-06,West,Returning
C0198,2025-05-24,South,Returning
C0199,2025-04-06,East,Returning
C0200,2024-02-23,South,Returning
C0201,2026-02-17,North,Returning
C0202,2024-01-19,South,New
C0203,2026-08-23,South,Returning
C0204,2025-11-23,West,Returning
C0205,2026-05-01,North,New
C0206,2024-04-26,West,Returning
C0207,2024-10-09,East,New
C0208,2024-03-01,North,Returning
C0209,2025-06-13,North,New
C0210,2024-03-06,West,Returning
C0211,2026-02-20,West,VIP
C0212,2024-12-22,South,Returning
C0213,2026-06-03,East,Returning
C0214,2025-05-17,West,New
C0215,2025-02-14,North,Returning
C0216,2025-05-28,South,New
C0217,2025-06-26,East,Returning
C0218,2025-10-19,South,Returning
C0219,2026-08-25,East,New
C0220,2026-03-08,South,New
C0221,2026-07-29,East,Returning
C0222,2024-05-24,West,Returning
C0223,2024-11-26,West,Returning
C0224,2024-10-04,South,Returning
C0225,2026-02-22,East,New
C0226,2025-11-06,South,New
C0227,2024-12-29,East,Returning
C0228,2024-10-20,West,Returning
C0229,2025-08-11,West,New
C0230,2024-05-07,North,Returning
C0231,2024-06-23,North,Returning
C0232,2025-10-07,South,Returning
C0233,2026-02-07,West,Returning
C0234,2025-11-11,West,New
C0235,2026-08-13,North,VIP
C0236,2025-08-10,West,VIP
C0237,2024-02-15,West,Returning
C0238,2026-01-09,South,New
C0239,2024-03-27,East,New
C0240,2025-02-27,East,New
C0241,2024-11-15,North,New
C0242,2025-01-02,South,New
C0243,2025-10-10,South,VIP
C0244,2023-09-24,South,VIP
C0245,2024-05-19,South,New
C0246,2024-10-29,South,VIP
C0247,2023-09-29,East,Returning
C0248,2025-09-12,North,Returning
C0249,2026-02-12,South,Returning
C0250,2024-06-25,North,VIP
C0251,2026-03-08,West,Returning
C0252,2024-08-26,East,Returning
C0253,2026-06-04,North,Returning
C0254,2024-03-10,East,Returning
C0255,2025-02-26,East,VIP
C0256,2024-03-15,South,Returning
C0257,2023-12-11,South,VIP
C0258,2026-02-11,North,Returning
C0259,2024-10-20,East,New
C0260,2024-12-23,East,VIP
C0261,2024-02-29,South,Returning
C0262,2025-08-23,North,Returning
C0263,2024-04-13,North,New
C0264,2026-04-15,East,Returning
C0265,2023-09-28,West,New
C0266,2026-03-19,North,VIP
C0267,2024-01-31,West,Returning
C0268,2024-04-24,North,Returning
C0269,2023-11-25,East,Returning
C0270,2025-12-27,North,New
C0271,2024-11-01,South,Returning
C0272,2024-10-07,West,New
C0273,2025-09-29,West,New
C0274,2026-08-29,East,VIP
C0275,2024-03-24,North,VIP
C0276,2025-11-21,East,Returning
C0277,2025-01-22,South,New
C0278,2025-04-19,West,VIP
C0279,2023-09-04,North,Returning
C0280,2024-05-26,North,Returning
C0281,2026-03-31,South,Returning
C0282,2023-09-20,East,Returning
C0283,2025-02-10,North,New
C0284,2023-09-24,South,New
C0285,2024-04-22,West,Returning
C0286,2026-03-22,South,Returning
C0287,2024-02-24,South,Returning
C0288,2024-02-12,East,Returning
C0289,2023-12-15,North,VIP
C0290,2024-11-30,West,Returning
C0291,2024-01-02,South,Returning
C0292,2024-08-22,South,Returning
C0293,2026-08-11,South,New
C0294,2024-02-21,West,New
C0295,2024-02-02,South,Returning
C0296,2026-06-12,West,VIP
C0297,2024-12-13,North,Returning
C0298,2024-12-19,South,Returning
C0299,2024-08-03,South,Returning
C0300,2024-05-13,West,Returning
C0301,2024-07-19,West,Returning
C0302,2025-02-21,West,Returning
C0303,2024-06-03,North,Returning
C0304,2026-07-06,East,VIP
C0305,2026-06-14,South,New
C0306,2024-01-09,West,New
C0307,2024-04-26,South,Returning
C0308,2023-10-09,South,Returning
C0309,2024-11-09,South,Returning
C0310,2024-07-29,West,VIP
C0311,2025-03-25,South,Returning
C0312,2024-09-24,South,Returning
C0313,2025-05-11,West,Returning
C0314,2024-10-06,West,New
C0315,2024-07-05,East,New
C0316,2025-11-24,South,Returning
C0317,2024-03-22,South,Returning
C0318,2024-09-14,East,Returning
C0319,2025-08-18,North,New
C0320,2026-04-09,South,Returning
C0321,2025-09-05,South,New
C0322,2025-11-02,West,Returning
C0323,2025-05-07,East,VIP
C0324,2025-10-10,East,Returning
C0325,2024-06-25,East,New
C0326,2025-07-23,South,Returning
C0327,2025-09-09,West,New
C0328,2025-03-02,North,Returning
C0329,2025-11-27,East,VIP
C0330,2024-06-30,North,VIP
C0331,2026-08-09,West,VIP
C0332,2026-02-05,North,Returning
C0333,2024-11-23,South,Returning
C0334,2023-10-01,North,Returning
C0335,2025-05-20,North,New
C0336,2023-11-22,North,New
C0337,2026-07-06,South,Returning
C0338,2026-05-28,West,Returning
C0339,2025-06-14,East,New
C0340,2025-02-11,South,Returning
C0341,2024-04-11,North,VIP
C0342,2025-10-29,South,Returning
C0343,2026-04-12,West,New
C0344,2023-12-15,South,Returning
C0345,2025-07-17,East,VIP
C0346,2024-12-02,North,Returning
C0347,2025-07-24,West,New
C0348,2025-06-10,North,Returning
C0349,2024-12-21,West,New
C0350,2026-05-10,South,Returning
C0351,2024-10-05,East,Returning
C0352,2024-07-28,West,Returning
C0353,2025-09-24,North,Returning
C0354,2025-01-17,North,New
C0355,2025-02-13,South,Returning
C0356,2024-01-06,North,Returning
C0357,2025-05-24,East,Returning
C0358,2024-02-08,West,Returning
C0359,2023-10-05,North,VIP
C0360,2026-05-19,West,New
C0361,2023-10-17,South,Returning
C0362,2023-09-27,East,VIP
C0363,2026-08-27,East,New
C0364,2024-12-02,North,VIP
C0365,2024-09-16,West,Returning
C0366,2025-06-01,West,New
C0367,2025-07-05,West,VIP
C0368,2025-09-20,West,Returning
C0369,2024-06-16,West,Returning
C0370,2024-09-14,South,Returning
C0371,2026-06-12,West,Returning
C0372,2025-12-31,North,Returning
C0373,2024-07-19,East,New
C0374,2026-08-01,East,Returning
C0375,2025-04-23,North,New
C0376,2024-06-20,North,New
C0377,2025-01-31,South,Returning
C0378,2026-08-27,North,Returning
C0379,2025-08-26,North,VIP
C0380,2025-12-21,South,New
C0381,2023-11-17,East,Returning
C0382,2026-08-23,East,New
C0383,2025-08-08,South,New
C0384,2025-09-15,North,Returning
C0385,2024-10-13,East,New
C0386,2025-01-17,North,VIP
C0387,2025-05-12,West,VIP
C0388,2025-09-07,East,Returning
C0389,2025-08-01,East,VIP
C0390,2025-11-23,North,New
C0391,2025-10-22,South,New
C0392,2025-01-19,East,New
C0393,2025-06-06,East,New
C0394,2025-09-05,West,Returning
C0395,2026-04-18,North,New
C0396,2025-03-03,North,New
