date,channel,region,spend,impressions
2025-09-01,Organic,North,0.0,327
2025-09-01,Paid,North,783.6,7537
2025-09-01,Email,North,154.06,1642
2025-09-01,Referral,North,112.9,988
2025-09-01,Organic,South,0.0,250
2025-09-01,Paid,South,797.19,7994
2025-09-01,Email,South,153.34,1835
2025-09-01,Referral,South,107.73,1130
2025-09-01,Organic,East,0.0,414
2025-09-01,Paid,East,894.49,9197
2025-09-01,Email,East,158.73,1834
2025-09-01,Referral,East,101.95,838
2025-09-01,Organic,West,0.0,472
2025-09-01,Paid,West,900.04,8062
2025-09-01,Email,West,147.61,1393
2025-09-01,Referral,West,99.23,1119
2025-09-02,Organic,North,0.0,476
2025-09-02,Paid,North,723.3,8406
2025-09-02,Email,North,144.61,1550
2025-09-02,Referral,North,100.91,1025
2025-09-02,Organic,South,0.0,236
2025-09-02,Paid,South,701.71,6397
2025-09-02,Email,South,140.91,1290
2025-09-02,Referral,South,107.26,1008
2025-09-02,Organic,East,0.0,273
2025-09-02,Paid,East,797.0,9112
2025-09-02,Email,East,146.06,1410
2025-09-02,Referral,East,101.73,1177
2025-09-02,Organic,West,0.0,370
2025-09-02,Paid,West,745.15,8607
2025-09-02,Email,West,138.54,1293
2025-09-02,Referral,West,86.49,961
2025-09-03,Organic,North,0.0,429
2025-09-03,Paid,North,846.51,9329
2025-09-03,Email,North,148.58,1487
2025-09-03,Referral,North,91.71,1073
2025-09-03,Organic,South,0.0,233
2025-09-03,Paid,South,840.53,7064
2025-09-03,Email,South,148.5,1190
2025-09-03,Referral,South,114.39,1025
2025-09-03,Organic,East,0.0,396
2025-09-03,Paid,East,913.1,9808
2025-09-03,Email,East,147.42,1629
2025-09-03,Referral,East,91.58,825
2025-09-03,Organic,West,0.0,210
2025-09-03,Paid,West,794.54,8580
2025-09-03,Email,West,133.38,1507
2025-09-03,Referral,West,89.91,1061
2025-09-04,Organic,North,0.0,476
2025-09-04,Paid,North,783.59,8786
2025-09-04,Email,North,132.09,1447
2025-09-04,Referral,North,92.26,746
2025-09-04,Organic,South,0.0,369
2025-09-04,Paid,South,685.19,7281
2025-09-04,Email,South,128.02,1493
2025-09-04,Referral,South,106.31,930
2025-09-04,Organic,East,0.0,493
2025-09-04,Paid,East,681.34,7487
2025-09-04,Email,East,153.14,1325
2025-09-04,Referral,East,86.55,721
2025-09-04,Organic,West,0.0,360
2025-09-04,Paid,West,827.02,8969
2025-09-04,Email,West,161.92,1890
2025-09-04,Referral,West,87.96,803
2025-09-05,Organic,North,0.0,456
2025-09-05,Paid,North,775.26,6248
2025-09-05,Email,North,161.03,1328
2025-09-05,Referral,North,102.53,883
2025-09-05,Organic,South,0.0,455
2025-09-05,Paid,South,783.97,7439
2025-09-05,Email,South,127.58,1501
2025-09-05,Referral,South,111.21,1069
2025-09-05,Organic,East,0.0,375
2025-09-05,Paid,East,869.81,9058
2025-09-05,Email,East,143.53,1196
2025-09-05,Referral,East,105.49,1255
2025-09-05,Organic,West,0.0,329
2025-09-05,Paid,West,894.25,7764
2025-09-05,Email,West,142.75,1226
2025-09-05,Referral,West,94.08,1026
2025-09-06,Organic,North,0.0,358
2025-09-06,Paid,North,871.4,8423
2025-09-06,Email,North,138.59,1116
2025-09-06,Referral,North,94.61,1113
2025-09-06,Organic,South,0.0,378
2025-09-06,Paid,South,695.77,6966
2025-09-06,Email,South,128.35,1064
2025-09-06,Referral,South,85.96,883
2025-09-06,Organic,East,0.0,377
2025-09-06,Paid,East,795.35,6658
2025-09-06,Email,East,166.52,1982
2025-09-06,Referral,East,91.18,1040
2025-09-06,Organic,West,0.0,360
2025-09-06,Paid,West,704.52,6228
2025-09-06,Email,West,149.6,1650
2025-09-06,Referral,West,112.95,1124
2025-09-07,Organic,North,0.0,351
2025-09-07,Paid,North,713.07,8142
2025-09-07,Email,North,136.89,1365
2025-09-07,Referral,North,88.35,749
2025-09-07,Organic,South,0.0,325
2025-09-07,Paid,South,779.23,8171
2025-09-07,Email,South,136.2,1380
2025-09-07,Referral,South,92.67,1074
2025-09-07,Organic,East,0.0,382
2025-09-07,Paid,East,859.0,8367
2025-09-07,Email,East,164.09,1929
2025-09-07,Referral,East,104.08,1234
2025-09-07,Organic,West,0.0,421
2025-09-07,Paid,West,730.57,7879
2025-09-07,Email,West,144.0,1441
2025-09-07,Referral,West,90.19,1078
2025-09-08,Organic,North,0.0,481
2025-09-08,Paid,North,681.68,6829
2025-09-08,Email,North,168.47,1656
2025-09-08,Referral,North,99.06,1063
2025-09-08,Organic,South,0.0,437
2025-09-08,Paid,South,718.48,8509
2025-09-08,Email,South,170.73,1474
2025-09-08,Referral,South,110.58,916
2025-09-08,Organic,East,0.0,391
2025-09-08,Paid,East,855.92,9507
2025-09-08,Email,East,133.37,1192
2025-09-08,Referral,East,114.01,1238
2025-09-08,Organic,West,0.0,315
2025-09-08,Paid,West,887.22,7613
2025-09-08,Email,West,168.6,1861
2025-09-08,Referral,West,109.64,1067
2025-09-09,Organic,North,0.0,403
2025-09-09,Paid,North,888.82,10605
2025-09-09,Email,North,164.55,1449
2025-09-09,Referral,North,108.97,1114
2025-09-09,Organic,South,0.0,382
2025-09-09,Paid,South,859.84,9602
2025-09-09,Email,South,154.81,1395
2025-09-09,Referral,South,99.36,931
