order_id,customer_id,product_id,order_date,quantity,revenue,channel
O000001,C0376,P0001,2025-09-01,1,227.02,Referral
O000002,C0474,P0011,2025-09-01,3,93.93,Organic
O000003,C0359,P0010,2025-09-01,3,119.4,Paid
O000004,C0336,P0018,2025-09-01,1,49.19,Paid
O000005,C0675,P0031,2025-09-01,3,114.36,Organic
O000006,C0786,P0034,2025-09-01,3,176.04,Organic
O000007,C0595,P0034,2025-09-01,1,58.68,Paid
O000008,C0328,P0039,2025-09-01,1,103.58,Organic
O000009,C0102,P0008,2025-09-01,3,679.59,Paid
O000010,C0212,P0002,2025-09-01,3,556.2,Organic
O000011,C0484,P0003,2025-09-01,2,394.92,Organic
O000012,C0383,P0005,2025-09-01,2,691.38,Email
O000013,C0309,P0010,2025-09-01,2,79.6,Organic
O000014,C0242,P0019,2025-09-01,2,265.9,Organic
O000015,C0131,P0018,2025-09-01,2,98.38,Paid
O000016,C0620,P0021,2025-09-01,3,179.82,Referral
O000017,C0728,P0024,2025-09-01,3,336.42,Organic
O000018,C0715,P0026,2025-09-01,2,113.22,Paid
O000019,C0202,P0031,2025-09-01,3,114.36,Referral
O000020,C0614,P0038,2025-09-01,1,18.18,Email
O000021,C0096,P0036,2025-09-01,3,216.33,Organic
O000022,C0212,P0035,2025-09-01,2,176.5,Organic
O000023,C0744,P0003,2025-09-01,1,197.46,Organic
O000024,C0593,P0008,2025-09-01,3,679.59,Email
O000025,C0412,P0004,2025-09-01,2,338.46,Paid
O000026,C0154,P0008,2025-09-01,2,453.06,Email
O000027,C0255,P0006,2025-09-01,2,131.6,Organic
O000028,C0084,P0004,2025-09-01,3,507.69,Referral
O000029,C0057,P0009,2025-09-01,2,118.02,Organic
O000030,C0339,P0015,2025-09-01,1,45.92,Organic
O000031,C0252,P0023,2025-09-01,3,275.97,Paid
O000032,C0339,P0034,2025-09-01,2,117.36,Organic
O000033,C0148,P0036,2025-09-01,2,144.22,Organic
O000034,C0467,P0002,2025-09-01,3,556.2,Referral
O000035,C0089,P0003,2025-09-01,3,592.38,Organic
O000036,C0369,P0004,2025-09-01,3,507.69,Paid
O000037,C0519,P0003,2025-09-01,3,592.38,Paid
O000038,C0124,P0015,2025-09-01,1,45.92,Email
